customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_segment
1,290,2,745.57,2,2,4,Lost / Hibernating
2,405,1,44.39,1,1,1,Lost / Hibernating
5,228,1,281.66,2,1,2,Lost / Hibernating
6,58,1,37.54,3,1,1,New / Promising
7,216,5,829.55,2,4,4,At Risk (Valuable)
8,68,5,755.62,3,4,4,Champions
9,207,1,40.27,2,1,1,Lost / Hibernating
10,258,2,365.16,2,2,3,Lost / Hibernating
11,337,1,70.39,2,1,1,Lost / Hibernating
12,36,5,2454.89,4,4,4,Champions
13,255,1,19.94,2,1,1,Lost / Hibernating
15,180,1,24.94,2,1,1,Lost / Hibernating
16,82,1,168.03,3,1,2,New / Promising
18,27,3,232.41,4,3,2,Regular
21,4,1,124.58,4,1,1,New / Promising
22,312,2,147.3,2,2,2,Lost / Hibernating
24,594,2,696.97,1,2,4,Lost / Hibernating
25,30,4,409.57,4,4,3,Champions
27,435,1,159.15,1,1,2,Lost / Hibernating
28,118,1,30.7,3,1,1,New / Promising
29,190,1,341.9,2,1,3,Lost / Hibernating
30,515,1,927.91,1,1,4,Lost / Hibernating
31,66,3,588.41,3,3,3,Champions
33,30,2,708.86,4,2,4,New / Promising
34,95,3,1007.07,3,3,4,Champions
35,115,2,431.82,3,2,3,New / Promising
36,505,1,1454.69,1,1,4,Lost / Hibernating
37,39,2,601.66,4,2,3,New / Promising
38,13,2,1136.14,4,2,4,New / Promising
39,490,1,270.53,1,1,2,Lost / Hibernating
40,87,2,751.81,3,2,4,New / Promising
41,619,1,28.33,1,1,1,Lost / Hibernating
42,148,3,681.19,3,3,3,Champions
44,14,2,375.03,4,2,3,New / Promising
45,660,1,293.96,1,1,2,Lost / Hibernating
46,417,2,565.79,1,2,3,Lost / Hibernating
49,274,2,441.12,2,2,3,Lost / Hibernating
50,7,2,61.85,4,2,1,New / Promising
52,467,1,68.79,1,1,1,Lost / Hibernating
53,120,3,644.98,3,3,3,Champions
54,432,1,114.15,1,1,1,Lost / Hibernating
55,39,2,407.32,4,2,3,New / Promising
56,141,2,393.19,3,2,3,New / Promising
58,82,1,356.05,3,1,3,New / Promising
59,79,1,1232.7,3,1,4,New / Promising
61,65,3,562.59,3,3,3,Champions
62,36,3,412.42,4,3,3,Champions
63,368,2,1232.68,2,2,4,Lost / Hibernating
66,693,1,117.52,1,1,1,Lost / Hibernating
67,208,3,1011.62,2,3,4,At Risk (Valuable)
68,488,2,1187.41,1,2,4,Lost / Hibernating
70,400,2,153.25,1,2,2,Lost / Hibernating
73,203,4,1474.28,2,4,4,At Risk (Valuable)
74,4,1,89.75,4,1,1,New / Promising
75,60,1,179.91,3,1,2,New / Promising
76,332,1,108.17,2,1,1,Lost / Hibernating
79,76,5,1842.49,3,4,4,Champions
80,515,1,11.35,1,1,1,Lost / Hibernating
81,106,1,159.11,3,1,2,New / Promising
82,257,4,944.22,2,4,4,At Risk (Valuable)
83,370,1,137.19,2,1,1,Lost / Hibernating
84,240,3,664.03,2,3,3,At Risk (Valuable)
87,41,5,833.52,4,4,4,Champions
88,26,3,1667.04,4,3,4,Champions
89,254,2,385.33,2,2,3,Lost / Hibernating
92,97,2,143.51,3,2,1,New / Promising
93,570,1,188.58,1,1,2,Lost / Hibernating
94,20,1,418.73,4,1,3,New / Promising
95,160,2,246.99,3,2,2,New / Promising
96,230,4,765.76,2,4,4,At Risk (Valuable)
97,176,1,30.92,2,1,1,Lost / Hibernating
98,343,1,5.87,2,1,1,Lost / Hibernating
99,483,1,310.75,1,1,2,Lost / Hibernating
101,161,1,65.87,3,1,1,New / Promising
102,369,1,39.89,2,1,1,Lost / Hibernating
103,202,2,627.75,2,2,3,Lost / Hibernating
104,4,1,40.24,4,1,1,New / Promising
105,128,3,1184.54,3,3,4,Champions
106,114,1,68.08,3,1,1,New / Promising
110,33,3,708.06,4,3,4,Champions
111,402,1,96.53,1,1,1,Lost / Hibernating
112,311,1,11.57,2,1,1,Lost / Hibernating
114,560,1,81.17,1,1,1,Lost / Hibernating
115,520,1,397.98,1,1,3,Lost / Hibernating
116,50,2,832.26,4,2,4,New / Promising
117,469,1,132.4,1,1,1,Lost / Hibernating
118,19,3,876.03,4,3,4,Champions
121,337,3,285.07,2,3,2,Regular
122,69,1,228.77,3,1,2,New / Promising
124,89,4,2252.64,3,4,4,Champions
125,155,2,1726.37,3,2,4,New / Promising
126,592,1,217.77,1,1,2,Lost / Hibernating
127,141,3,578.22,3,3,3,Champions
129,181,4,1076.87,2,4,4,At Risk (Valuable)
131,5,2,585.0,4,2,3,New / Promising
132,534,1,128.46,1,1,1,Lost / Hibernating
133,368,3,1004.4,2,3,4,At Risk (Valuable)
134,304,1,76.43,2,1,1,Lost / Hibernating
135,471,1,115.28,1,1,1,Lost / Hibernating
136,29,2,365.59,4,2,3,New / Promising
137,215,3,559.98,2,3,3,At Risk (Valuable)
140,420,1,130.69,1,1,1,Lost / Hibernating
141,114,1,135.91,3,1,1,New / Promising
143,330,4,462.21,2,4,3,At Risk (Valuable)
144,397,1,273.84,1,1,2,Lost / Hibernating
145,356,3,403.57,2,3,3,At Risk (Valuable)
146,408,1,49.14,1,1,1,Lost / Hibernating
147,42,4,1187.6,4,4,4,Champions
148,222,3,879.69,2,3,4,At Risk (Valuable)
150,164,2,213.3,3,2,2,New / Promising
151,375,1,373.03,1,1,3,Lost / Hibernating
153,127,1,121.47,3,1,1,New / Promising
156,417,1,175.92,1,1,2,Lost / Hibernating
157,415,3,1119.89,1,3,4,At Risk (Valuable)
158,248,2,700.29,2,2,4,Lost / Hibernating
160,36,1,421.26,4,1,3,New / Promising
162,127,2,161.25,3,2,2,New / Promising
163,369,4,1431.11,2,4,4,At Risk (Valuable)
164,168,2,1374.73,3,2,4,New / Promising
166,116,2,214.2,3,2,2,New / Promising
168,20,2,665.77,4,2,3,New / Promising
169,475,1,78.12,1,1,1,Lost / Hibernating
171,280,1,39.7,2,1,1,Lost / Hibernating
172,34,2,334.87,4,2,3,New / Promising
173,146,2,1813.63,3,2,4,New / Promising
174,113,1,151.47,3,1,2,New / Promising
175,34,1,150.85,4,1,2,New / Promising
177,206,2,567.82,2,2,3,Lost / Hibernating
179,171,1,1097.71,3,1,4,New / Promising
180,235,6,1866.02,2,4,4,At Risk (Valuable)
181,24,2,340.6,4,2,3,New / Promising
182,435,1,96.28,1,1,1,Lost / Hibernating
183,495,2,268.99,1,2,2,Lost / Hibernating
184,407,1,1004.79,1,1,4,Lost / Hibernating
186,126,2,199.11,3,2,2,New / Promising
187,154,1,225.7,3,1,2,New / Promising
190,156,2,66.61,3,2,1,New / Promising
192,262,1,88.08,2,1,1,Lost / Hibernating
193,49,1,168.15,4,1,2,New / Promising
194,607,1,739.5,1,1,4,Lost / Hibernating
195,154,2,650.41,3,2,3,New / Promising
196,140,2,320.01,3,2,2,New / Promising
197,18,4,795.32,4,4,4,Champions
198,109,3,593.03,3,3,3,Champions
199,587,1,152.55,1,1,2,Lost / Hibernating
200,366,2,167.04,2,2,2,Lost / Hibernating
201,44,2,787.29,4,2,4,New / Promising
202,12,1,82.45,4,1,1,New / Promising
203,304,1,40.66,2,1,1,Lost / Hibernating
205,39,4,605.04,4,4,3,Champions
206,60,1,89.68,3,1,1,New / Promising
207,258,2,225.1,2,2,2,Lost / Hibernating
208,16,1,236.64,4,1,2,New / Promising
209,29,3,822.49,4,3,4,Champions
211,461,2,335.86,1,2,3,Lost / Hibernating
212,12,1,18.12,4,1,1,New / Promising
215,76,1,414.54,3,1,3,New / Promising
216,234,2,401.55,2,2,3,Lost / Hibernating
218,3,2,179.48,4,2,2,New / Promising
219,276,1,33.67,2,1,1,Lost / Hibernating
222,136,2,255.53,3,2,2,New / Promising
223,17,2,317.62,4,2,2,New / Promising
225,15,3,593.86,4,3,3,Champions
226,661,1,129.13,1,1,1,Lost / Hibernating
227,365,1,37.99,2,1,1,Lost / Hibernating
228,295,1,116.11,2,1,1,Lost / Hibernating
230,332,3,407.12,2,3,3,At Risk (Valuable)
231,35,1,36.18,4,1,1,New / Promising
232,406,1,222.6,1,1,2,Lost / Hibernating
233,304,1,21.89,2,1,1,Lost / Hibernating
234,117,2,514.74,3,2,3,New / Promising
235,359,1,138.5,2,1,1,Lost / Hibernating
236,502,1,634.51,1,1,3,Lost / Hibernating
237,251,2,598.41,2,2,3,Lost / Hibernating
238,323,1,70.18,2,1,1,Lost / Hibernating
239,27,5,1594.1,4,4,4,Champions
243,340,1,60.94,2,1,1,Lost / Hibernating
244,48,3,565.29,4,3,3,Champions
245,123,2,533.36,3,2,3,New / Promising
246,66,1,748.57,3,1,4,New / Promising
248,1,2,1157.82,4,2,4,New / Promising
250,210,3,1135.17,2,3,4,At Risk (Valuable)
251,302,2,635.28,2,2,3,Lost / Hibernating
252,314,3,475.44,2,3,3,At Risk (Valuable)
253,30,1,531.66,4,1,3,New / Promising
254,267,1,176.12,2,1,2,Lost / Hibernating
255,196,2,350.44,2,2,3,Lost / Hibernating
256,7,4,715.9,4,4,4,Champions
257,543,1,211.64,1,1,2,Lost / Hibernating
259,447,1,77.72,1,1,1,Lost / Hibernating
260,37,1,218.34,4,1,2,New / Promising
261,324,1,806.53,2,1,4,Lost / Hibernating
262,101,1,247.55,3,1,2,New / Promising
263,111,1,131.21,3,1,1,New / Promising
265,476,3,551.42,1,3,3,At Risk (Valuable)
266,53,1,121.23,4,1,1,New / Promising
267,13,4,615.6,4,4,3,Champions
269,26,3,979.56,4,3,4,Champions
272,32,1,105.01,4,1,1,New / Promising
274,204,1,41.88,2,1,1,Lost / Hibernating
276,471,1,38.72,1,1,1,Lost / Hibernating
277,3,2,74.99,4,2,1,New / Promising
278,283,1,43.2,2,1,1,Lost / Hibernating
279,369,1,85.03,2,1,1,Lost / Hibernating
280,209,2,696.19,2,2,4,Lost / Hibernating
281,11,2,182.94,4,2,2,New / Promising
282,75,3,688.73,3,3,4,Champions
284,10,3,460.32,4,3,3,Champions
285,489,1,90.43,1,1,1,Lost / Hibernating
286,7,1,14.24,4,1,1,New / Promising
287,146,3,471.47,3,3,3,Champions
288,220,4,793.57,2,4,4,At Risk (Valuable)
289,1,8,2818.96,4,4,4,Champions
291,293,2,183.91,2,2,2,Lost / Hibernating
293,55,4,1186.6,4,4,4,Champions
294,218,1,89.57,2,1,1,Lost / Hibernating
295,22,1,71.41,4,1,1,New / Promising
296,11,2,1157.11,4,2,4,New / Promising
297,375,2,672.02,1,2,3,Lost / Hibernating
299,132,1,111.87,3,1,1,New / Promising
300,689,1,233.39,1,1,2,Lost / Hibernating
301,198,2,209.78,2,2,2,Lost / Hibernating
302,386,3,1180.12,1,3,4,At Risk (Valuable)
303,508,1,153.98,1,1,2,Lost / Hibernating
305,20,3,448.65,4,3,3,Champions
308,113,1,204.08,3,1,2,New / Promising
312,45,4,594.73,4,4,3,Champions
313,45,3,525.19,4,3,3,Champions
314,242,2,1234.21,2,2,4,Lost / Hibernating
319,698,1,503.73,1,1,3,Lost / Hibernating
320,429,1,642.12,1,1,3,Lost / Hibernating
321,87,2,103.82,3,2,1,New / Promising
322,289,2,328.29,2,2,2,Lost / Hibernating
323,90,2,81.31,3,2,1,New / Promising
324,299,1,196.31,2,1,2,Lost / Hibernating
325,204,3,95.14,2,3,1,Regular
328,22,2,597.17,4,2,3,New / Promising
329,122,1,119.93,3,1,1,New / Promising
330,21,2,104.81,4,2,1,New / Promising
331,412,1,900.76,1,1,4,Lost / Hibernating
332,378,3,665.42,1,3,3,At Risk (Valuable)
334,62,2,185.64,3,2,2,New / Promising
335,123,2,336.36,3,2,3,New / Promising
336,22,2,100.19,4,2,1,New / Promising
337,298,1,216.13,2,1,2,Lost / Hibernating
339,69,1,355.02,3,1,3,New / Promising
340,633,1,513.77,1,1,3,Lost / Hibernating
341,20,1,59.83,4,1,1,New / Promising
343,7,4,599.48,4,4,3,Champions
344,32,4,1239.74,4,4,4,Champions
345,60,1,670.89,3,1,3,New / Promising
347,268,2,160.22,2,2,2,Lost / Hibernating
348,4,2,172.16,4,2,2,New / Promising
350,317,1,639.22,2,1,3,Lost / Hibernating
351,334,3,117.05,2,3,1,Regular
352,599,1,73.92,1,1,1,Lost / Hibernating
353,259,1,32.19,2,1,1,Lost / Hibernating
354,376,2,386.6,1,2,3,Lost / Hibernating
355,123,3,441.02,3,3,3,Champions
356,160,1,112.23,3,1,1,New / Promising
357,33,2,522.64,4,2,3,New / Promising
358,83,2,111.88,3,2,1,New / Promising
359,147,2,1012.66,3,2,4,New / Promising
362,679,1,71.3,1,1,1,Lost / Hibernating
367,36,10,4251.3,4,4,4,Champions
369,53,1,397.28,4,1,3,New / Promising
371,63,2,1190.87,3,2,4,New / Promising
372,396,1,161.71,1,1,2,Lost / Hibernating
375,44,2,159.49,4,2,2,New / Promising
376,141,1,40.73,3,1,1,New / Promising
377,104,3,939.83,3,3,4,Champions
379,378,3,1178.2,1,3,4,At Risk (Valuable)
380,33,3,1118.34,4,3,4,Champions
384,119,1,265.2,3,1,2,New / Promising
386,77,1,75.64,3,1,1,New / Promising
387,195,2,167.93,2,2,2,Lost / Hibernating
389,19,2,517.97,4,2,3,New / Promising
390,450,1,41.38,1,1,1,Lost / Hibernating
391,63,2,379.57,3,2,3,New / Promising
393,22,4,1114.45,4,4,4,Champions
394,61,6,1464.15,3,4,4,Champions
395,155,5,993.84,3,4,4,Champions
396,367,1,57.42,2,1,1,Lost / Hibernating
397,51,1,214.23,4,1,2,New / Promising
398,376,1,37.61,1,1,1,Lost / Hibernating
399,51,1,610.4,4,1,3,New / Promising
401,418,1,59.0,1,1,1,Lost / Hibernating
402,54,5,627.58,4,4,3,Champions
403,71,3,527.79,3,3,3,Champions
404,242,2,603.49,2,2,3,Lost / Hibernating
405,41,3,672.38,4,3,3,Champions
406,545,1,63.32,1,1,1,Lost / Hibernating
407,491,1,153.53,1,1,2,Lost / Hibernating
409,48,5,990.79,4,4,4,Champions
410,71,2,73.54,3,2,1,New / Promising
412,220,2,168.97,2,2,2,Lost / Hibernating
414,468,1,84.81,1,1,1,Lost / Hibernating
415,381,1,89.43,1,1,1,Lost / Hibernating
416,25,1,261.42,4,1,2,New / Promising
417,253,1,31.74,2,1,1,Lost / Hibernating
418,406,1,173.2,1,1,2,Lost / Hibernating
419,257,3,542.98,2,3,3,At Risk (Valuable)
420,341,1,255.84,2,1,2,Lost / Hibernating
421,12,2,109.78,4,2,1,New / Promising
422,486,1,951.9,1,1,4,Lost / Hibernating
423,105,6,1048.09,3,4,4,Champions
424,376,2,1662.82,1,2,4,Lost / Hibernating
425,5,1,299.05,4,1,2,New / Promising
426,95,2,490.8,3,2,3,New / Promising
428,102,3,397.28,3,3,3,Champions
429,530,3,848.17,1,3,4,At Risk (Valuable)
430,71,1,69.16,3,1,1,New / Promising
431,199,1,110.68,2,1,1,Lost / Hibernating
432,95,2,151.83,3,2,2,New / Promising
433,179,1,357.1,2,1,3,Lost / Hibernating
434,20,3,884.09,4,3,4,Champions
436,200,5,951.03,2,4,4,At Risk (Valuable)
437,117,3,492.3,3,3,3,Champions
438,75,1,370.57,3,1,3,New / Promising
439,363,2,396.47,2,2,3,Lost / Hibernating
441,532,1,89.25,1,1,1,Lost / Hibernating
442,263,3,441.47,2,4,3,At Risk (Valuable)
444,408,1,28.94,1,1,1,Lost / Hibernating
445,146,1,368.82,3,1,3,New / Promising
446,131,1,713.01,3,1,4,New / Promising
447,60,2,427.87,3,2,3,New / Promising
449,113,2,162.0,3,2,2,New / Promising
452,438,2,226.75,1,2,2,Lost / Hibernating
453,485,2,749.44,1,2,4,Lost / Hibernating
454,669,1,233.57,1,1,2,Lost / Hibernating
455,60,2,125.01,3,2,1,New / Promising
456,184,3,419.64,2,4,3,At Risk (Valuable)
458,110,1,80.24,3,1,1,New / Promising
459,24,1,56.69,4,1,1,New / Promising
460,2,2,425.53,4,2,3,New / Promising
461,56,7,1729.4,4,4,4,Champions
462,446,1,157.32,1,1,2,Lost / Hibernating
464,261,2,589.96,2,2,3,Lost / Hibernating
465,167,4,316.68,3,4,2,Regular
467,62,1,28.03,3,1,1,New / Promising
468,82,1,237.85,3,1,2,New / Promising
471,222,3,556.4,2,4,3,At Risk (Valuable)
472,181,3,350.99,2,4,3,At Risk (Valuable)
474,296,2,89.17,2,2,1,Lost / Hibernating
475,305,2,422.06,2,2,3,Lost / Hibernating
477,485,2,557.26,1,2,3,Lost / Hibernating
478,652,1,690.58,1,1,4,Lost / Hibernating
479,213,1,210.16,2,1,2,Lost / Hibernating
