product_id,product_name,category,subcategory,price,cost,margin,margin_pct
1,Vacuum Cleaner Hard Plus,Home Appliances,Vacuum Cleaners,104.28,54.57,49.71,47.7
2,Laptop Mind Lite,Electronics,Laptops,58.88,32.55,26.33,44.7
3,Charger Huge Plus,Accessories,Chargers,119.45,73.1,46.35,38.8
4,Laptop Should Lite,Electronics,Laptops,262.62,162.3,100.32,38.2
5,Cable Hour Max,Accessories,Cables,54.02,35.66,18.36,34.0
6,Laptop Almost Plus,Electronics,Laptops,54.02,26.43,27.59,51.1
7,Charger Best Lite,Accessories,Chargers,276.25,153.51,122.74,44.4
8,Cable Off Max,Accessories,Cables,133.05,94.24,38.81,29.2
9,Game Tree Lite,Gaming,Games,43.71,20.49,23.22,53.1
10,Charger Against Plus,Accessories,Chargers,108.67,61.85,46.82,43.1
11,Console Work,Gaming,Consoles,43.94,20.83,23.11,52.6
12,Game Skin,Gaming,Games,43.85,22.66,21.19,48.3
13,Charger Myself Lite,Accessories,Chargers,82.91,43.56,39.35,47.5
14,Kitchen Federal Pro,Home Appliances,Kitchen,11.92,7.19,4.73,39.7
15,Game May Pro,Gaming,Games,14.12,8.34,5.78,40.9
16,Charger Direction Max,Accessories,Chargers,40.2,20.26,19.94,49.6
17,Game Option,Gaming,Games,26.8,15.03,11.77,43.9
18,Headphone Suffer Pro,Electronics,Headphones,88.48,60.36,28.12,31.8
19,Kitchen Man Max,Home Appliances,Kitchen,29.45,14.0,15.45,52.5
20,Laptop Article Plus,Electronics,Laptops,18.71,13.17,5.54,29.6
21,Game Rise,Gaming,Games,249.41,162.21,87.2,35.0
22,Controller Student Max,Gaming,Controllers,54.42,40.43,13.99,25.7
23,Console Third Max,Gaming,Consoles,70.86,34.24,36.62,51.7
24,Controller Paper Lite,Gaming,Controllers,18.5,13.36,5.14,27.8
25,Console Official Plus,Gaming,Consoles,40.86,19.23,21.63,52.9
26,Charger Expert,Accessories,Chargers,73.69,48.24,25.45,34.5
27,Case Need Plus,Accessories,Cases,23.67,13.51,10.16,42.9
28,Controller Difficult Lite,Gaming,Controllers,93.52,46.85,46.67,49.9
29,Tablet Stay Plus,Electronics,Tablets,38.84,24.46,14.38,37.0
30,Tablet Free Pro,Electronics,Tablets,51.29,36.41,14.88,29.0
31,Charger Often Lite,Accessories,Chargers,38.8,17.53,21.27,54.8
32,Console Executive Max,Gaming,Consoles,353.21,210.78,142.43,40.3
