cohort_month,month_offset,active_customers,cohort_customers,retention_pct
2024-01,0,331,331,100.0
2024-01,1,21,331,6.3
2024-01,2,22,331,6.6
2024-01,3,26,331,7.9
2024-01,4,29,331,8.8
2024-01,5,25,331,7.6
2024-01,6,28,331,8.5
2024-02,0,291,291,100.0
2024-02,1,16,291,5.5
2024-02,2,12,291,4.1
2024-02,3,14,291,4.8
2024-02,4,15,291,5.2
2024-02,5,13,291,4.5
2024-02,6,19,291,6.5
2024-03,0,347,347,100.0
2024-03,1,22,347,6.3
2024-03,2,15,347,4.3
2024-03,3,18,347,5.2
2024-03,4,23,347,6.6
2024-03,5,21,347,6.1
2024-03,6,18,347,5.2
2024-04,0,334,334,100.0
2024-04,1,16,334,4.8
2024-04,2,20,334,6.0
2024-04,3,11,334,3.3
2024-04,4,21,334,6.3
2024-04,5,28,334,8.4
2024-04,6,21,334,6.3
2024-05,0,324,324,100.0
2024-05,1,17,324,5.2
2024-05,2,22,324,6.8
2024-05,3,18,324,5.6
2024-05,4,22,324,6.8
2024-05,5,25,324,7.7
2024-05,6,28,324,8.6
2024-06,0,260,260,100.0
2024-06,1,15,260,5.8
2024-06,2,12,260,4.6
2024-06,3,21,260,8.1
2024-06,4,25,260,9.6
2024-06,5,28,260,10.8
2024-06,6,31,260,11.9
2024-07,0,310,310,100.0
2024-07,1,18,310,5.8
2024-07,2,19,310,6.1
2024-07,3,15,310,4.8
2024-07,4,24,310,7.7
2024-07,5,21,310,6.8
2024-07,6,16,310,5.2
2024-08,0,328,328,100.0
2024-08,1,23,328,7.0
2024-08,2,26,328,7.9
2024-08,3,20,328,6.1
2024-08,4,23,328,7.0
2024-08,5,19,328,5.8
2024-08,6,17,328,5.2
2024-09,0,287,287,100.0
2024-09,1,9,287,3.1
2024-09,2,25,287,8.7
2024-09,3,23,287,8.0
2024-09,4,15,287,5.2
2024-09,5,12,287,4.2
2024-09,6,18,287,6.3
2024-10,0,298,298,100.0
2024-10,1,26,298,8.7
2024-10,2,25,298,8.4
2024-10,3,22,298,7.4
2024-10,4,15,298,5.0
2024-10,5,20,298,6.7
2024-10,6,13,298,4.4
2024-11,0,359,359,100.0
2024-11,1,36,359,10.0
2024-11,2,20,359,5.6
2024-11,3,13,359,3.6
2024-11,4,19,359,5.3
2024-11,5,21,359,5.8
2024-11,6,25,359,7.0
2024-12,0,389,389,100.0
2024-12,1,30,389,7.7
2024-12,2,19,389,4.9
2024-12,3,29,389,7.5
2024-12,4,30,389,7.7
2024-12,5,21,389,5.4
2024-12,6,28,389,7.2
2025-01,0,203,203,100.0
2025-01,1,12,203,5.9
2025-01,2,10,203,4.9
2025-01,3,12,203,5.9
2025-01,4,7,203,3.4
2025-01,5,14,203,6.9
2025-01,6,12,203,5.9
2025-02,0,180,180,100.0
2025-02,1,6,180,3.3
2025-02,2,9,180,5.0
2025-02,3,17,180,9.4
2025-02,4,10,180,5.6
2025-02,5,14,180,7.8
2025-02,6,12,180,6.7
2025-03,0,209,209,100.0
2025-03,1,8,209,3.8
2025-03,2,11,209,5.3
2025-03,3,10,209,4.8
2025-03,4,14,209,6.7
2025-03,5,13,209,6.2
2025-03,6,10,209,4.8
2025-04,0,230,230,100.0
2025-04,1,11,230,4.8
2025-04,2,11,230,4.8
2025-04,3,15,230,6.5
2025-04,4,13,230,5.7
2025-04,5,14,230,6.1
2025-04,6,16,230,7.0
2025-05,0,215,215,100.0
2025-05,1,17,215,7.9
2025-05,2,16,215,7.4
2025-05,3,11,215,5.1
2025-05,4,12,215,5.6
2025-05,5,16,215,7.4
2025-05,6,23,215,10.7
2025-06,0,190,190,100.0
2025-06,1,18,190,9.5
2025-06,2,7,190,3.7
2025-06,3,16,190,8.4
2025-06,4,13,190,6.8
2025-06,5,21,190,11.1
2025-06,6,14,190,7.4
2025-07,0,201,201,100.0
2025-07,1,9,201,4.5
2025-07,2,12,201,6.0
2025-07,3,16,201,8.0
2025-07,4,14,201,7.0
2025-07,5,18,201,9.0
2025-08,0,169,169,100.0
2025-08,1,13,169,7.7
2025-08,2,9,169,5.3
2025-08,3,12,169,7.1
2025-08,4,20,169,11.8
2025-09,0,169,169,100.0
2025-09,1,11,169,6.5
2025-09,2,13,169,7.7
2025-09,3,9,169,5.3
2025-10,0,196,196,100.0
2025-10,1,13,196,6.6
2025-10,2,20,196,10.2
2025-11,0,220,220,100.0
2025-11,1,21,220,9.5
2025-12,0,247,247,100.0
