date_key,channel_id,spend
20240101,4,183.14
20240101,6,212.59
20240101,2,19.99
20240101,5,15.56
20240102,4,238.53
20240102,6,169.25
20240102,2,32.19
20240102,5,13.05
20240103,4,109.33
20240103,6,169.03
20240103,2,32.83
20240103,5,24.21
20240104,4,292.36
20240104,6,228.01
20240104,2,22.63
20240104,5,23.64
20240105,4,257.64
20240105,6,212.55
20240105,2,28.93
20240105,5,10.66
20240106,4,241.11
20240106,6,114.54
20240106,2,30.17
20240106,5,16.26
20240107,4,185.24
20240107,6,230.68
20240107,2,22.76
20240107,5,13.75
20240108,4,249.37
20240108,6,179.29
20240108,2,26.46
20240108,5,18.87
20240109,4,179.39
20240109,6,142.96
20240109,2,23.55
20240109,5,14.76
20240110,4,255.32
20240110,6,267.38
20240110,2,24.73
20240110,5,15.14
20240111,4,184.17
20240111,6,145.22
20240111,2,29.23
20240111,5,15.15
20240112,4,288.59
20240112,6,231.22
20240112,2,30.43
20240112,5,9.52
20240113,4,257.58
20240113,6,137.94
20240113,2,13.23
20240113,5,15.83
20240114,4,294.69
20240114,6,212.03
20240114,2,19.49
20240114,5,25.49
20240115,4,264.92
20240115,6,142.12
20240115,2,12.21
20240115,5,14.23
20240116,4,111.98
20240116,6,133.66
20240116,2,14.38
20240116,5,12.17
20240117,4,190.65
20240117,6,140.68
20240117,2,39.38
20240117,5,14.3
20240118,4,293.05
20240118,6,205.62
20240118,2,23.71
20240118,5,13.21
20240119,4,294.31
20240119,6,133.37
20240119,2,21.08
20240119,5,12.59
20240120,4,224.11
20240120,6,139.11
20240120,2,30.85
20240120,5,19.03
20240121,4,180.52
20240121,6,203.73
20240121,2,19.75
20240121,5,15.67
20240122,4,284.35
20240122,6,184.65
20240122,2,24.34
20240122,5,23.58
20240123,4,239.82
20240123,6,142.06
20240123,2,19.24
20240123,5,23.55
20240124,4,179.27
20240124,6,148.44
20240124,2,25.17
20240124,5,17.74
20240125,4,151.77
20240125,6,167.47
20240125,2,16.62
20240125,5,14.43
20240126,4,265.18
20240126,6,168.7
20240126,2,37.31
20240126,5,11.82
20240127,4,231.98
20240127,6,238.83
20240127,2,31.31
20240127,5,24.91
20240128,4,237.81
20240128,6,139.73
20240128,2,25.52
20240128,5,11.86
20240129,4,226.63
20240129,6,235.51
