order_item_id,order_id,customer_id,product_id,date_key,channel_id,quantity,unit_price,discount,line_revenue,order_status,payment_method
1,1,3691,58,20251108,4,1,50.13,0.0,50.13,completed,paypal
2,2,8380,119,20240909,5,1,184.25,0.1,165.82,completed,debit_card
3,3,913,142,20241114,2,2,206.27,0.1,371.29,completed,debit_card
4,3,913,35,20241114,2,1,135.88,0.0,135.88,completed,debit_card
5,3,913,30,20241114,2,1,50.49,0.0,50.49,completed,debit_card
6,4,4372,50,20250903,5,2,13.6,0.0,27.2,returned,paypal
7,5,6037,40,20250628,2,1,78.76,0.0,78.76,completed,paypal
8,6,5610,80,20251103,2,1,10.72,0.0,10.72,completed,paypal
9,6,5610,158,20251103,2,1,99.67,0.05,94.69,completed,paypal
10,6,5610,83,20251103,2,5,249.43,0.1,1122.44,completed,paypal
11,7,2488,14,20250703,4,2,11.54,0.1,20.77,cancelled,paypal
12,8,5203,11,20250502,4,1,42.64,0.15,36.24,completed,bank_transfer
13,8,5203,54,20250502,4,3,113.39,0.1,306.15,completed,bank_transfer
14,8,5203,92,20250502,4,1,154.62,0.1,139.16,completed,bank_transfer
15,9,6552,145,20240422,4,1,84.05,0.15,71.44,completed,credit_card
16,9,6552,23,20240422,4,5,69.08,0.0,345.4,completed,credit_card
17,9,6552,50,20240422,4,2,13.56,0.0,27.12,completed,credit_card
18,10,5374,149,20240712,4,3,104.93,0.15,267.57,completed,paypal
19,10,5374,13,20240712,4,1,81.66,0.1,73.49,completed,paypal
20,11,6345,83,20241003,1,1,250.69,0.1,225.62,completed,debit_card
21,12,2408,45,20240914,4,2,17.24,0.15,29.31,completed,paypal
22,13,7707,80,20251222,5,1,10.62,0.05,10.09,completed,debit_card
23,13,7707,67,20251222,5,1,62.18,0.15,52.85,completed,debit_card
24,13,7707,13,20251222,5,2,82.86,0.0,165.72,completed,debit_card
25,14,4153,102,20241219,4,2,43.57,0.0,87.14,completed,paypal
26,15,-1,51,20251121,1,1,86.88,0.05,82.54,completed,debit_card
27,16,237,70,20250615,1,1,35.73,0.1,32.16,cancelled,debit_card
28,16,237,26,20250615,1,1,70.41,0.0,70.41,cancelled,debit_card
29,17,3509,112,20251003,5,1,64.19,0.0,64.19,completed,debit_card
30,17,3509,27,20251003,5,2,23.65,0.15,40.2,completed,debit_card
31,18,1708,73,20250315,3,2,62.5,0.0,125.0,cancelled,paypal
32,18,1708,100,20250315,3,2,53.15,0.0,106.3,cancelled,paypal
33,18,1708,38,20250315,3,1,11.21,0.0,11.21,cancelled,paypal
34,18,1708,151,20250315,3,2,79.58,0.0,159.16,cancelled,paypal
35,19,5130,35,20250508,5,2,133.23,0.0,266.46,completed,debit_card
36,20,2291,14,20250308,5,1,11.74,0.1,10.57,completed,paypal
37,21,6822,70,20240801,5,2,35.95,0.05,68.31,cancelled,credit_card
38,21,6822,46,20240801,5,1,33.71,0.15,28.65,cancelled,credit_card
39,22,8157,41,20250818,1,1,125.79,0.15,106.92,returned,debit_card
40,23,1994,140,20241015,5,1,21.89,0.1,19.7,completed,debit_card
41,23,1994,82,20241015,5,1,90.65,0.0,90.65,completed,debit_card
42,24,1526,142,20240203,6,1,208.19,0.0,208.19,completed,bank_transfer
43,25,8095,17,20250625,4,1,26.08,0.0,26.08,completed,paypal
44,26,3330,21,20240714,4,4,248.61,0.0,994.44,completed,credit_card
45,27,4009,88,20251210,1,2,85.79,0.05,163.0,cancelled,paypal
46,27,4009,103,20251210,1,2,46.88,0.1,84.38,cancelled,paypal
47,28,2075,156,20251215,1,1,34.89,0.1,31.4,cancelled,paypal
48,28,2075,116,20251215,1,1,84.43,0.15,71.77,cancelled,paypal
49,28,2075,86,20251215,1,2,41.12,0.15,69.9,cancelled,paypal
50,29,3924,147,20251130,2,1,21.68,0.1,19.51,completed,debit_card
51,29,3924,123,20251130,2,1,229.85,0.1,206.86,completed,debit_card
52,29,3924,63,20251130,2,5,23.6,0.15,100.3,completed,debit_card
53,30,2177,45,20240812,3,1,17.48,0.0,17.48,completed,debit_card
54,31,6166,90,20240122,3,1,101.54,0.0,101.54,completed,paypal
55,32,4607,21,20251205,5,1,239.71,0.0,239.71,completed,debit_card
56,32,4607,1,20251205,5,1,101.03,0.0,101.03,completed,debit_card
57,32,4607,2,20251205,5,1,56.05,0.0,56.05,completed,debit_card
58,33,7292,108,20251001,6,1,75.8,0.0,75.8,completed,paypal
59,33,7292,142,20251001,6,1,207.8,0.15,176.63,completed,paypal
60,34,2897,126,20251219,3,1,468.43,0.0,468.43,completed,debit_card
61,34,2897,85,20251219,3,2,31.87,0.0,63.74,completed,debit_card
62,34,2897,155,20251219,3,4,86.2,0.0,344.8,completed,debit_card
63,35,4677,96,20251218,6,1,17.74,0.05,16.85,completed,credit_card
64,36,2438,30,20251104,4,1,50.94,0.0,50.94,completed,debit_card
65,37,8619,2,20241026,4,1,58.35,0.1,52.52,completed,debit_card
66,37,8619,84,20241026,4,5,41.45,0.05,196.89,completed,debit_card
67,38,4827,100,20241215,1,3,52.48,0.0,157.44,completed,credit_card
68,38,4827,92,20241215,1,1,154.79,0.0,154.79,completed,credit_card
69,38,4827,48,20241215,1,1,168.18,0.15,142.95,completed,credit_card
70,39,1647,69,20250411,3,2,91.2,0.0,182.4,completed,credit_card
71,40,2558,102,20240911,1,3,44.92,0.1,121.28,completed,debit_card
72,41,809,122,20240607,4,2,29.23,0.0,58.46,completed,paypal
73,42,282,142,20250424,6,1,215.74,0.1,194.17,completed,paypal
74,43,4870,18,20250812,6,1,87.85,0.05,83.46,completed,paypal
75,44,3113,23,20250731,2,2,68.16,0.05,129.5,completed,bank_transfer
76,45,8893,114,20250503,3,3,608.45,0.15,1551.55,completed,credit_card
77,46,1626,44,20240426,6,1,48.53,0.0,48.53,completed,credit_card
78,46,1626,62,20240426,6,2,56.3,0.0,112.6,completed,credit_card
79,47,7353,67,20250603,5,1,60.83,0.1,54.75,completed,credit_card
80,48,2929,141,20251228,1,5,78.37,0.0,391.85,completed,paypal
81,48,2929,146,20251228,1,2,129.81,0.15,220.68,completed,paypal
82,49,2101,28,20240706,3,2,92.72,0.0,185.44,cancelled,bank_transfer
83,49,2101,40,20240706,3,2,79.25,0.15,134.72,cancelled,bank_transfer
84,49,2101,21,20240706,3,1,246.62,0.0,246.62,cancelled,bank_transfer
85,50,8952,144,20250327,3,1,77.26,0.0,77.26,completed,credit_card
86,51,7440,62,20251115,3,2,54.89,0.0,109.78,cancelled,paypal
87,52,5812,113,20250830,1,2,67.71,0.05,128.65,completed,paypal
88,53,6452,109,20250801,2,1,83.31,0.15,70.81,cancelled,bank_transfer
89,54,-1,44,20250804,2,1,49.28,0.05,46.82,completed,paypal
90,55,5464,153,20241202,5,2,35.92,0.0,71.84,completed,bank_transfer
91,55,5464,112,20241202,5,1,62.01,0.1,55.81,completed,bank_transfer
92,55,5464,50,20241202,5,2,13.21,0.0,26.42,completed,bank_transfer
93,56,1002,157,20241025,6,1,355.87,0.0,355.87,completed,bank_transfer
94,57,-1,138,20251012,5,2,49.59,0.0,99.18,completed,paypal
95,57,-1,40,20251012,5,3,78.84,0.1,212.87,completed,paypal
96,57,-1,69,20251012,5,4,88.7,0.05,337.06,completed,paypal
97,57,-1,53,20251012,5,1,35.02,0.0,35.02,completed,paypal
98,58,6167,30,20251210,3,1,50.57,0.15,42.98,completed,paypal
99,59,6091,137,20251011,1,3,32.72,0.05,93.25,completed,credit_card
