order_item_id,order_id,product_id,quantity,unit_price,discount,line_revenue
1,1,58,1,50.13,0.0,50.13
2,2,119,1,184.25,0.1,165.82
3,3,142,2,206.27,0.1,371.29
4,3,35,1,135.88,0.0,135.88
5,3,30,1,50.49,0.0,50.49
6,4,50,2,13.6,0.0,27.2
7,5,40,1,78.76,0.0,78.76
8,6,80,1,10.72,0.0,10.72
9,6,158,1,99.67,0.05,94.69
10,6,83,5,249.43,0.1,1122.44
11,7,14,2,11.54,0.1,20.77
12,8,11,1,42.64,0.15,36.24
13,8,54,3,113.39,0.1,306.15
14,8,92,1,154.62,0.1,139.16
15,9,145,1,84.05,0.15,71.44
16,9,23,5,69.08,0.0,345.4
17,9,50,2,13.56,0.0,27.12
18,10,149,3,104.93,0.15,267.57
19,10,13,1,81.66,0.1,73.49
20,11,83,1,250.69,0.1,225.62
21,12,45,2,17.24,0.15,29.31
22,13,80,1,10.62,0.05,10.09
23,13,67,1,62.18,0.15,52.85
24,13,13,2,82.86,0.0,165.72
25,14,102,2,43.57,0.0,87.14
26,15,51,1,86.88,0.05,82.54
27,16,70,1,35.73,0.1,32.16
28,16,26,1,70.41,0.0,70.41
29,17,112,1,64.19,0.0,64.19
30,17,27,2,23.65,0.15,40.2
31,18,73,2,62.5,0.0,125.0
32,18,100,2,53.15,0.0,106.3
33,18,38,1,11.21,0.0,11.21
34,18,151,2,79.58,0.0,159.16
35,19,35,2,133.23,0.0,266.46
36,20,14,1,11.74,0.1,10.57
37,21,70,2,35.95,0.05,68.31
38,21,46,1,33.71,0.15,28.65
39,22,41,1,125.79,0.15,106.92
40,23,140,1,21.89,0.1,19.7
41,23,82,1,90.65,0.0,90.65
42,24,142,1,208.19,0.0,208.19
43,25,17,1,26.08,0.0,26.08
44,26,21,4,248.61,0.0,994.44
45,27,88,2,85.79,0.05,163.0
46,27,103,2,46.88,0.1,84.38
47,28,156,1,34.89,0.1,31.4
48,28,116,1,84.43,0.15,71.77
49,28,86,2,41.12,0.15,69.9
50,29,147,1,21.68,0.1,19.51
51,29,123,1,229.85,0.1,206.86
52,29,63,5,23.6,0.15,100.3
53,30,45,1,17.48,0.0,17.48
54,31,90,1,101.54,0.0,101.54
55,32,21,1,239.71,0.0,239.71
56,32,1,1,101.03,0.0,101.03
57,32,2,1,56.05,0.0,56.05
58,33,108,1,75.8,0.0,75.8
59,33,142,1,207.8,0.15,176.63
