order_id,customer_id,order_date,status,channel,payment_method
1,3691,2025-11-08 00:00:00,completed,paid_search,paypal
2,8380,2024-09-09 00:00:00,completed,referral,debit_card
3,913,2024-11-14 00:00:00,completed,email,debit_card
4,4372,2025-09-03 00:00:00,returned,referral,paypal
5,6037,2025-06-28 00:00:00,completed,email,paypal
6,5610,2025-11-03 00:00:00,completed,email,paypal
7,2488,2025-07-03 00:00:00,cancelled,paid_search,paypal
8,5203,2025-05-02 02:50:44,completed,paid_search,bank_transfer
9,6552,2024-04-22 00:00:00,completed,paid_search,credit_card
10,5374,2024-07-12 00:00:00,completed,paid_search,paypal
11,6345,2024-10-03 00:00:00,completed,direct,debit_card
12,2408,2024-09-14 00:00:00,completed,paid_search,paypal
13,7707,2025-12-22 00:00:00,completed,referral,debit_card
14,4153,2024-12-19 00:08:55,completed,paid_search,paypal
15,-1,2025-11-21 00:00:00,completed,direct,debit_card
16,237,2025-06-15 00:00:00,cancelled,direct,debit_card
17,3509,2025-10-03 12:21:33,completed,referral,debit_card
18,1708,2025-03-15 00:00:00,cancelled,organic_search,paypal
19,5130,2025-05-08 00:00:00,completed,referral,debit_card
20,2291,2025-03-08 23:36:57,completed,referral,paypal
21,6822,2024-08-01 00:00:00,cancelled,referral,credit_card
22,8157,2025-08-18 00:00:00,returned,direct,debit_card
23,1994,2024-10-15 18:04:54,completed,referral,debit_card
24,1526,2024-02-03 00:00:00,completed,social_media,bank_transfer
25,8095,2025-06-25 00:00:00,completed,paid_search,paypal
26,3330,2024-07-14 00:00:00,completed,paid_search,credit_card
27,4009,2025-12-10 00:00:00,cancelled,direct,paypal
28,2075,2025-12-15 01:13:23,cancelled,direct,paypal
29,3924,2025-11-30 10:01:31,completed,email,debit_card
30,2177,2024-08-12 00:00:00,completed,organic_search,debit_card
31,6166,2024-01-22 00:00:00,completed,organic_search,paypal
32,4607,2025-12-05 10:53:23,completed,referral,debit_card
33,7292,2025-10-01 00:00:00,completed,social_media,paypal
34,2897,2025-12-19 00:00:00,completed,organic_search,debit_card
35,4677,2025-12-18 00:00:00,completed,social_media,credit_card
36,2438,2025-11-04 12:45:38,completed,paid_search,debit_card
37,8619,2024-10-26 00:00:00,completed,paid_search,debit_card
38,4827,2024-12-15 00:00:00,completed,direct,credit_card
39,1647,2025-04-11 00:00:00,completed,organic_search,credit_card
40,2558,2024-09-11 00:00:00,completed,direct,debit_card
41,809,2024-06-07 00:00:00,completed,paid_search,paypal
42,282,2025-04-24 00:00:00,completed,social_media,paypal
43,4870,2025-08-12 00:00:00,completed,social_media,paypal
44,3113,2025-07-31 18:59:08,completed,email,bank_transfer
45,8893,2025-05-03 02:36:42,completed,organic_search,credit_card
46,1626,2024-04-26 00:00:00,completed,social_media,credit_card
47,7353,2025-06-03 14:25:20,completed,referral,credit_card
48,2929,2025-12-28 00:00:00,completed,direct,paypal
49,2101,2024-07-06 00:00:00,cancelled,organic_search,bank_transfer
50,8952,2025-03-27 00:00:00,completed,organic_search,credit_card
51,7440,2025-11-15 00:00:00,cancelled,organic_search,paypal
52,5812,2025-08-30 00:00:00,completed,direct,paypal
53,6452,2025-08-01 00:00:00,cancelled,email,bank_transfer
54,-1,2025-08-04 00:00:00,completed,email,paypal
55,5464,2024-12-02 00:00:00,completed,referral,bank_transfer
56,1002,2024-10-25 14:50:26,completed,social_media,bank_transfer
57,-1,2025-10-12 00:00:00,completed,referral,paypal
58,6167,2025-12-10 00:00:00,completed,organic_search,paypal
59,6091,2025-10-11 00:00:00,completed,direct,credit_card
60,6916,2025-11-29 00:00:00,completed,paid_search,paypal
61,1062,2025-03-22 00:00:00,completed,social_media,credit_card
62,8721,2025-03-14 14:27:05,completed,email,paypal
63,5084,2025-10-05 00:00:00,completed,email,bank_transfer
64,6006,2025-06-28 00:00:00,completed,organic_search,credit_card
65,347,2025-04-08 00:00:00,completed,organic_search,bank_transfer
66,8865,2025-04-10 00:00:00,completed,paid_search,credit_card
67,5196,2025-11-20 00:00:00,completed,email,bank_transfer
68,5203,2024-11-21 13:30:01,completed,paid_search,paypal
69,8708,2024-12-10 00:00:00,completed,email,debit_card
70,8594,2024-04-22 05:46:31,completed,email,debit_card
71,2069,2025-09-05 00:00:00,completed,paid_search,debit_card
72,8598,2024-02-18 00:00:00,cancelled,referral,credit_card
73,6813,2025-02-13 00:00:00,completed,organic_search,debit_card
74,192,2025-04-14 00:00:00,completed,direct,paypal
75,2255,2024-10-20 00:00:00,cancelled,organic_search,bank_transfer
76,3800,2025-05-17 00:00:00,completed,referral,paypal
77,5368,2024-02-11 00:00:00,completed,direct,paypal
78,6495,2024-02-20 00:00:00,returned,organic_search,credit_card
79,1987,2025-10-19 13:34:21,completed,direct,debit_card
80,7737,2024-03-12 00:00:00,completed,organic_search,credit_card
81,7819,2024-05-25 05:49:08,completed,social_media,paypal
82,5859,2025-03-30 09:23:02,completed,paid_search,debit_card
83,8521,2025-09-18 14:05:56,completed,referral,paypal
84,7523,2024-08-20 00:00:00,completed,direct,debit_card
85,2083,2025-09-06 00:00:00,cancelled,direct,credit_card
86,7399,2024-04-14 00:00:00,completed,paid_search,bank_transfer
87,8793,2024-03-08 18:33:29,completed,email,debit_card
88,1326,2025-06-04 00:00:00,completed,direct,credit_card
89,-1,2025-04-12 00:00:00,completed,social_media,paypal
90,255,2025-06-19 00:00:00,completed,direct,debit_card
91,4829,2025-08-20 00:00:00,completed,organic_search,credit_card
92,7145,2025-12-23 00:00:00,cancelled,paid_search,credit_card
93,7317,2025-03-26 00:00:00,completed,email,debit_card
94,6791,2024-11-12 00:00:00,completed,referral,credit_card
95,4896,2025-03-10 00:00:00,completed,social_media,paypal
96,6021,2024-07-10 00:00:00,completed,email,paypal
97,6479,2025-01-20 00:00:00,completed,social_media,credit_card
98,4569,2024-07-04 00:00:00,completed,social_media,paypal
99,5489,2024-05-02 00:00:00,completed,referral,debit_card
100,7827,2025-12-18 00:00:00,completed,social_media,credit_card
101,2899,2025-10-27 00:00:00,completed,email,debit_card
102,4841,2025-07-31 01:34:23,completed,social_media,paypal
103,83,2024-12-27 12:24:09,completed,referral,bank_transfer
104,6375,2024-10-07 00:00:00,completed,email,credit_card
105,1858,2024-06-23 10:01:44,completed,social_media,paypal
106,4447,2024-09-20 00:00:00,cancelled,email,paypal
107,1987,2025-04-18 00:00:00,completed,direct,debit_card
108,239,2025-08-13 00:00:00,completed,organic_search,credit_card
109,4470,2025-07-05 00:00:00,completed,social_media,credit_card
110,3921,2024-10-14 00:00:00,completed,paid_search,paypal
111,3922,2025-12-15 00:00:00,completed,organic_search,bank_transfer
112,1971,2025-08-28 00:00:00,completed,social_media,credit_card
113,8743,2025-04-22 00:00:00,completed,email,paypal
114,34,2025-06-01 23:08:44,cancelled,direct,paypal
115,8244,2025-01-02 00:00:00,completed,referral,bank_transfer
116,6816,2024-09-18 00:00:00,completed,paid_search,paypal
117,1632,2024-12-01 12:43:18,completed,paid_search,bank_transfer
118,4365,2025-09-10 00:00:00,completed,email,paypal
119,-1,2024-01-21 00:00:00,completed,referral,credit_card
120,5943,2024-05-14 00:00:00,completed,referral,credit_card
121,1235,2024-03-02 00:00:00,completed,referral,bank_transfer
122,4222,2024-02-24 00:00:00,cancelled,direct,bank_transfer
123,4321,2025-06-11 00:00:00,completed,referral,paypal
124,7438,2025-05-08 00:00:00,returned,referral,credit_card
125,8475,2025-02-20 00:00:00,completed,social_media,bank_transfer
126,802,2024-04-26 00:00:00,completed,referral,credit_card
127,2908,2025-03-07 00:00:00,completed,referral,credit_card
128,2784,2025-02-20 01:08:14,completed,social_media,debit_card
129,-1,2024-07-10 19:01:06,completed,paid_search,debit_card
130,5165,2025-01-15 08:32:35,completed,organic_search,debit_card
131,8135,2024-12-22 00:00:00,cancelled,social_media,credit_card
132,3930,2025-06-04 00:00:00,returned,organic_search,credit_card
133,6674,2025-06-17 05:29:39,cancelled,organic_search,bank_transfer
134,2686,2024-01-03 00:00:00,completed,direct,debit_card
135,8449,2024-10-12 00:00:00,completed,paid_search,debit_card
136,4201,2025-11-06 00:00:00,completed,organic_search,bank_transfer
137,7452,2025-03-16 15:59:24,completed,organic_search,bank_transfer
138,2405,2025-06-11 00:00:00,completed,email,bank_transfer
139,6428,2025-04-07 00:00:00,cancelled,direct,bank_transfer
140,3724,2024-06-30 00:00:00,completed,paid_search,paypal
141,313,2024-03-29 00:00:00,cancelled,organic_search,credit_card
142,3801,2025-06-23 00:00:00,completed,organic_search,credit_card
143,5071,2024-06-02 00:00:00,completed,referral,bank_transfer
144,1459,2025-05-14 00:00:00,completed,paid_search,paypal
145,1747,2025-10-12 00:00:00,completed,paid_search,credit_card
146,4294,2025-07-05 00:00:00,completed,referral,bank_transfer
147,3164,2024-12-17 00:00:00,completed,direct,paypal
148,4059,2025-06-23 00:00:00,completed,paid_search,paypal
149,4253,2025-06-02 00:00:00,completed,email,bank_transfer
150,1346,2025-04-16 11:29:44,completed,organic_search,paypal
151,1714,2025-10-12 00:00:00,completed,organic_search,debit_card
152,7841,2024-12-16 00:00:00,completed,email,bank_transfer
153,1546,2025-12-17 00:00:00,completed,social_media,credit_card
154,6166,2025-11-26 00:00:00,completed,paid_search,credit_card
155,3859,2024-02-08 00:00:00,completed,referral,bank_transfer
156,8937,2024-03-28 15:48:04,completed,paid_search,credit_card
157,644,2024-04-29 00:00:00,completed,direct,credit_card
158,7680,2024-01-26 00:00:00,completed,paid_search,paypal
159,4542,2024-04-23 23:10:47,completed,email,bank_transfer
160,53,2025-07-22 12:08:46,completed,organic_search,bank_transfer
161,2481,2024-03-30 00:00:00,completed,referral,bank_transfer
162,3753,2024-11-10 00:00:00,completed,organic_search,debit_card
163,2911,2025-11-01 00:00:00,completed,paid_search,debit_card
164,3343,2024-02-02 00:00:00,completed,referral,bank_transfer
165,8481,2025-10-15 00:00:00,cancelled,email,credit_card
166,3326,2024-10-16 00:00:00,completed,organic_search,paypal
167,3861,2024-05-17 00:00:00,completed,organic_search,paypal
168,7031,2025-07-31 00:00:00,completed,organic_search,paypal
169,7352,2025-06-13 00:00:00,completed,direct,bank_transfer
170,823,2025-11-15 00:00:00,completed,direct,bank_transfer
171,6517,2025-08-26 07:02:45,completed,social_media,debit_card
172,4465,2025-10-08 00:00:00,completed,referral,credit_card
173,1298,2024-10-16 00:00:00,completed,email,credit_card
174,2493,2024-07-14 00:00:00,completed,direct,debit_card
175,437,2025-09-06 00:00:00,completed,email,debit_card
176,3320,2025-10-10 00:00:00,completed,referral,debit_card
177,2402,2025-12-28 00:00:00,completed,referral,credit_card
178,3525,2024-12-29 03:31:53,completed,direct,bank_transfer
179,5356,2024-12-09 03:30:14,completed,paid_search,bank_transfer
180,6768,2025-09-22 00:00:00,completed,organic_search,bank_transfer
181,5580,2024-11-22 00:00:00,completed,referral,credit_card
182,6275,2025-12-06 00:00:00,completed,direct,debit_card
183,8008,2025-07-11 00:00:00,completed,direct,debit_card
184,8084,2025-01-11 21:44:27,completed,email,credit_card
185,7957,2025-09-06 00:00:00,returned,email,debit_card
186,1479,2025-09-08 00:00:00,completed,direct,debit_card
187,2360,2024-02-05 00:00:00,completed,direct,paypal
188,4644,2025-11-25 00:00:00,returned,email,paypal
189,3304,2025-03-17 00:00:00,returned,direct,bank_transfer
190,1277,2025-10-22 00:00:00,completed,social_media,credit_card
191,2696,2024-11-11 00:00:00,cancelled,direct,debit_card
192,8998,2025-11-22 12:43:32,cancelled,social_media,credit_card
193,3202,2024-12-17 14:02:08,completed,email,credit_card
194,3862,2024-01-16 00:00:00,completed,direct,bank_transfer
195,62,2025-11-26 00:00:00,completed,organic_search,paypal
196,6643,2024-04-20 00:00:00,completed,email,credit_card
197,3806,2024-11-10 00:00:00,completed,organic_search,debit_card
198,1016,2025-12-13 00:00:00,returned,direct,paypal
199,8940,2025-12-13 00:00:00,completed,paid_search,bank_transfer
200,7180,2025-05-05 09:54:15,completed,referral,paypal
201,6710,2025-06-15 00:00:00,cancelled,direct,debit_card
202,8842,2025-01-29 00:00:00,completed,paid_search,debit_card
203,3752,2024-10-25 00:00:00,completed,direct,credit_card
204,6634,2024-11-16 00:00:00,completed,social_media,debit_card
205,1948,2025-07-14 00:00:00,completed,social_media,paypal
206,6452,2025-07-09 00:00:00,completed,referral,credit_card
207,145,2025-01-10 00:00:00,completed,organic_search,bank_transfer
208,1222,2025-09-30 00:00:00,completed,paid_search,bank_transfer
209,3923,2024-04-20 00:00:00,completed,paid_search,paypal
210,122,2025-03-09 11:21:34,cancelled,organic_search,debit_card
211,4266,2024-03-15 00:00:00,completed,organic_search,debit_card
212,4836,2025-04-19 00:00:00,completed,social_media,bank_transfer
213,5727,2025-01-22 17:15:04,completed,social_media,debit_card
214,987,2025-11-19 00:00:00,completed,social_media,paypal
215,1712,2024-11-28 00:00:00,completed,referral,debit_card
216,5659,2024-05-15 00:00:00,completed,direct,paypal
217,6097,2024-06-10 00:00:00,completed,paid_search,bank_transfer
218,263,2025-09-12 00:00:00,completed,paid_search,debit_card
219,4990,2025-06-06 00:00:00,completed,social_media,credit_card
220,7257,2024-04-30 00:00:00,completed,direct,paypal
221,677,2024-04-12 12:55:38,completed,social_media,bank_transfer
222,3802,2025-08-03 06:48:10,completed,referral,debit_card
223,3022,2024-04-01 00:00:00,cancelled,email,bank_transfer
224,8463,2025-10-19 00:00:00,completed,referral,debit_card
225,1761,2025-08-07 03:50:29,completed,direct,paypal
226,2955,2024-04-10 00:51:26,completed,organic_search,bank_transfer
227,8314,2024-04-13 00:00:00,completed,social_media,debit_card
228,3061,2025-12-27 00:00:00,completed,email,bank_transfer
229,4913,2024-12-10 00:00:00,completed,referral,credit_card
230,328,2024-08-12 00:00:00,completed,email,paypal
231,-1,2025-10-14 00:00:00,returned,direct,bank_transfer
232,7631,2025-12-12 00:00:00,completed,referral,debit_card
233,5852,2025-12-26 00:00:00,completed,email,credit_card
234,598,2025-09-07 00:00:00,cancelled,referral,debit_card
235,735,2024-11-12 00:00:00,completed,direct,credit_card
236,5032,2024-04-12 00:00:00,completed,social_media,debit_card
237,2676,2025-09-22 00:00:00,returned,social_media,paypal
238,5739,2025-04-25 00:00:00,completed,referral,debit_card
239,5517,2025-01-06 00:00:00,completed,organic_search,credit_card
240,7755,2025-11-27 00:00:00,completed,email,debit_card
241,2644,2024-05-10 03:50:20,completed,social_media,credit_card
242,5345,2025-03-08 00:00:00,returned,social_media,bank_transfer
243,7180,2024-01-17 00:00:00,completed,direct,credit_card
244,4535,2025-02-16 00:00:00,completed,email,credit_card
245,7682,2024-03-14 00:00:00,returned,paid_search,credit_card
246,1273,2024-05-17 00:00:00,completed,email,debit_card
247,6783,2024-05-16 00:00:00,completed,referral,paypal
248,8700,2025-06-28 23:05:27,completed,referral,debit_card
249,3072,2025-09-03 00:00:00,completed,referral,debit_card
250,3375,2025-12-05 00:00:00,completed,referral,paypal
251,816,2025-12-18 23:13:18,completed,direct,debit_card
252,5918,2024-12-10 00:00:00,cancelled,referral,credit_card
