product_id,product_name,category,subcategory,price,cost
1,Vacuum Cleaner Hard Plus,Home Appliances,Vacuum Cleaners,104.28,54.57
2,Laptop Mind Lite,Electronics,Laptops,58.88,32.55
3,Charger Huge Plus,Accessories,Chargers,119.45,73.1
4,Laptop Should Lite,Electronics,Laptops,262.62,162.3
5,Cable Hour Max,Accessories,Cables,54.02,35.66
6,Laptop Almost Plus,Electronics,Laptops,54.02,26.43
7,Charger Best Lite,Accessories,Chargers,276.25,153.51
8,Cable Off Max,Accessories,Cables,133.05,94.24
9,Game Tree Lite,Gaming,Games,43.71,20.49
10,Charger Against Plus,Accessories,Chargers,108.67,61.85
11,Console Work,Gaming,Consoles,43.94,20.83
12,Game Skin,Gaming,Games,43.85,22.66
13,Charger Myself Lite,Accessories,Chargers,82.91,43.56
14,Kitchen Federal Pro,Home Appliances,Kitchen,11.92,7.19
15,Game May Pro,Gaming,Games,14.12,8.34
16,Charger Direction Max,Accessories,Chargers,40.2,20.26
17,Game Option,Gaming,Games,26.8,15.03
18,Headphone Suffer Pro,Electronics,Headphones,88.48,60.36
19,Kitchen Man Max,Home Appliances,Kitchen,29.45,14.0
20,Laptop Article Plus,Electronics,Laptops,18.71,13.17
21,Game Rise,Gaming,Games,249.41,162.21
22,Controller Student Max,Gaming,Controllers,54.42,40.43
23,Console Third Max,Gaming,Consoles,70.86,34.24
24,Controller Paper Lite,Gaming,Controllers,18.5,13.36
25,Console Official Plus,Gaming,Consoles,40.86,19.23
26,Charger Expert,Accessories,Chargers,73.69,48.24
27,Case Need Plus,Accessories,Cases,23.67,13.51
28,Controller Difficult Lite,Gaming,Controllers,93.52,46.85
29,Tablet Stay Plus,Electronics,Tablets,38.84,24.46
30,Tablet Free Pro,Electronics,Tablets,51.29,36.41
31,Charger Often Lite,Accessories,Chargers,38.8,17.53
32,Console Executive Max,Gaming,Consoles,353.21,210.78
33,Cable Bed Lite,Accessories,Cables,65.88,31.23
34,Charger Conference Lite,Accessories,Chargers,25.74,15.85
35,Camera Stop Lite,Electronics,Cameras,139.81,71.39
36,Game Official,Gaming,Games,22.23,12.74
37,Laptop Fall Lite,Electronics,Laptops,80.48,36.36
38,Console Argue,Gaming,Consoles,11.43,6.56
39,Camera Personal Max,Electronics,Cameras,20.18,12.86
40,Console Mr Max,Gaming,Consoles,79.61,37.62
41,Air Conditioner Audience Pro,Home Appliances,Air Conditioners,129.62,72.45
42,Vacuum Cleaner We Lite,Home Appliances,Vacuum Cleaners,77.81,51.09
43,Tablet Price Lite,Electronics,Tablets,60.09,37.58
44,Smartphone Produce,Electronics,Smartphones,50.86,23.62
45,Laptop Face Max,Electronics,Laptops,17.63,11.66
46,Kitchen Federal Pro,Home Appliances,Kitchen,34.89,21.8
