date,channel,spend
2024-01-01,paid_search,183.14
2024-01-01,social_media,212.59
2024-01-01,email,19.99
2024-01-01,referral,15.56
2024-01-02,paid_search,238.53
2024-01-02,social_media,169.25
2024-01-02,email,32.19
2024-01-02,referral,13.05
2024-01-03,paid_search,109.33
2024-01-03,social_media,169.03
2024-01-03,email,32.83
2024-01-03,referral,24.21
2024-01-04,paid_search,292.36
2024-01-04,social_media,228.01
2024-01-04,email,22.63
2024-01-04,referral,23.64
2024-01-05,paid_search,257.64
2024-01-05,social_media,212.55
2024-01-05,email,28.93
2024-01-05,referral,10.66
2024-01-06,paid_search,241.11
2024-01-06,social_media,114.54
2024-01-06,email,30.17
2024-01-06,referral,16.26
2024-01-07,paid_search,185.24
2024-01-07,social_media,230.68
2024-01-07,email,22.76
2024-01-07,referral,13.75
2024-01-08,paid_search,249.37
2024-01-08,social_media,179.29
2024-01-08,email,26.46
2024-01-08,referral,18.87
2024-01-09,paid_search,179.39
2024-01-09,social_media,142.96
2024-01-09,email,23.55
2024-01-09,referral,14.76
2024-01-10,paid_search,255.32
2024-01-10,social_media,267.38
2024-01-10,email,24.73
2024-01-10,referral,15.14
2024-01-11,paid_search,184.17
2024-01-11,social_media,145.22
2024-01-11,email,29.23
2024-01-11,referral,15.15
2024-01-12,paid_search,288.59
2024-01-12,social_media,231.22
2024-01-12,email,30.43
2024-01-12,referral,9.52
2024-01-13,paid_search,257.58
2024-01-13,social_media,137.94
2024-01-13,email,13.23
2024-01-13,referral,15.83
2024-01-14,paid_search,294.69
2024-01-14,social_media,212.03
2024-01-14,email,19.49
2024-01-14,referral,25.49
2024-01-15,paid_search,264.92
2024-01-15,social_media,142.12
2024-01-15,email,12.21
2024-01-15,referral,14.23
2024-01-16,paid_search,111.98
2024-01-16,social_media,133.66
2024-01-16,email,14.38
2024-01-16,referral,12.17
2024-01-17,paid_search,190.65
2024-01-17,social_media,140.68
2024-01-17,email,39.38
2024-01-17,referral,14.3
2024-01-18,paid_search,293.05
2024-01-18,social_media,205.62
2024-01-18,email,23.71
2024-01-18,referral,13.21
2024-01-19,paid_search,294.31
2024-01-19,social_media,133.37
2024-01-19,email,21.08
2024-01-19,referral,12.59
2024-01-20,paid_search,224.11
2024-01-20,social_media,139.11
2024-01-20,email,30.85
2024-01-20,referral,19.03
2024-01-21,paid_search,180.52
2024-01-21,social_media,203.73
2024-01-21,email,19.75
2024-01-21,referral,15.67
2024-01-22,paid_search,284.35
2024-01-22,social_media,184.65
2024-01-22,email,24.34
2024-01-22,referral,23.58
2024-01-23,paid_search,239.82
2024-01-23,social_media,142.06
2024-01-23,email,19.24
2024-01-23,referral,23.55
2024-01-24,paid_search,179.27
2024-01-24,social_media,148.44
2024-01-24,email,25.17
2024-01-24,referral,17.74
2024-01-25,paid_search,151.77
2024-01-25,social_media,167.47
2024-01-25,email,16.62
2024-01-25,referral,14.43
2024-01-26,paid_search,265.18
2024-01-26,social_media,168.7
2024-01-26,email,37.31
2024-01-26,referral,11.82
2024-01-27,paid_search,231.98
2024-01-27,social_media,238.83
2024-01-27,email,31.31
2024-01-27,referral,24.91
2024-01-28,paid_search,237.81
2024-01-28,social_media,139.73
2024-01-28,email,25.52
2024-01-28,referral,11.86
2024-01-29,paid_search,226.63
2024-01-29,social_media,235.51
2024-01-29,email,29.35
2024-01-29,referral,14.61
2024-01-30,paid_search,182.22
2024-01-30,social_media,194.63
2024-01-30,email,28.31
2024-01-30,referral,10.3
2024-01-31,paid_search,163.95
2024-01-31,social_media,166.97
2024-01-31,email,16.68
2024-01-31,referral,8.21
2024-02-01,paid_search,163.32
2024-02-01,social_media,197.22
2024-02-01,email,25.64
2024-02-01,referral,13.33
2024-02-02,paid_search,168.51
2024-02-02,social_media,196.6
2024-02-02,email,26.98
2024-02-02,referral,19.66
2024-02-03,paid_search,81.88
2024-02-03,social_media,101.43
2024-02-03,email,30.86
2024-02-03,referral,16.78
2024-02-04,paid_search,271.38
2024-02-04,social_media,139.85
2024-02-04,email,22.57
2024-02-04,referral,10.21
2024-02-05,paid_search,91.57
2024-02-05,social_media,186.28
2024-02-05,email,33.85
2024-02-05,referral,14.37
2024-02-06,paid_search,180.6
2024-02-06,social_media,129.62
2024-02-06,email,31.96
2024-02-06,referral,15.3
2024-02-07,paid_search,226.67
2024-02-07,social_media,115.02
2024-02-07,email,19.27
2024-02-07,referral,17.76
2024-02-08,paid_search,191.05
2024-02-08,social_media,150.68
2024-02-08,email,40.68
2024-02-08,referral,15.26
2024-02-09,paid_search,210.52
2024-02-09,social_media,173.89
2024-02-09,email,20.76
2024-02-09,referral,14.73
2024-02-10,paid_search,326.71
