order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,58,1,50.13,0.0
2,2,119,1,184.25,0.1
3,3,142,2,206.27,0.1
4,3,35,1,135.88,0.0
5,3,30,1,50.49,0.0
6,4,50,2,13.6,0.0
7,5,40,1,78.76,0.0
8,6,80,1,10.72,0.0
9,6,158,1,99.67,0.05
10,6,83,5,249.43,0.1
11,7,14,2,11.54,0.1
12,8,11,1,42.64,0.15
13,8,54,3,113.39,0.1
14,8,92,1,154.62,0.1
15,9,145,1,84.05,0.15
16,9,23,5,69.08,0.0
17,9,50,2,13.56,0.0
18,10,149,3,104.93,0.15
19,10,13,1,81.66,0.1
20,11,83,1,250.69,0.1
21,12,45,2,17.24,0.15
22,13,80,1,10.62,0.05
23,13,67,1,62.18,0.15
24,13,13,2,82.86,0.0
25,14,102,2,43.57,0.0
26,15,51,1,86.88,0.05
27,16,70,1,35.73,0.1
28,16,26,1,70.41,0.0
29,17,112,1,64.19,0.0
30,17,27,2,23.65,0.15
31,18,73,2,62.5,0.0
32,18,100,2,53.15,0.0
33,18,38,1,11.21,0.0
34,18,151,2,79.58,0.0
35,19,35,2,133.23,0.0
36,20,14,1,11.74,0.1
37,21,70,2,35.95,0.05
38,21,46,1,33.71,0.15
39,22,41,1,125.79,0.15
40,23,140,1,21.89,0.1
41,23,82,1,90.65,0.0
42,24,142,1,208.19,0.0
43,25,17,1,26.08,0.0
44,26,21,4,248.61,0.0
45,27,88,2,85.79,0.05
46,27,103,2,46.88,0.1
47,28,156,1,34.89,0.1
48,28,116,1,84.43,0.15
49,28,86,2,41.12,0.15
50,29,147,1,21.68,0.1
51,29,123,1,229.85,0.1
52,29,63,5,23.6,0.15
53,30,45,1,17.48,0.0
54,31,90,1,101.54,0.0
55,32,21,1,239.71,0.0
56,32,1,1,101.03,0.0
57,32,2,1,56.05,0.0
58,33,108,1,75.8,0.0
59,33,142,1,207.8,0.15
60,34,126,1,468.43,0.0
61,34,85,2,31.87,0.0
62,34,155,4,86.2,0.0
63,35,96,1,17.74,0.05
64,36,30,1,50.94,0.0
65,37,2,1,58.35,0.1
66,37,84,5,41.45,0.05
67,38,100,3,52.48,0.0
68,38,92,1,154.79,0.0
69,38,48,1,168.18,0.15
70,39,69,2,91.2,0.0
71,40,102,3,44.92,0.1
72,41,122,2,29.23,0.0
73,42,142,1,215.74,0.1
74,43,18,1,87.85,0.05
75,44,23,2,68.16,0.05
76,45,114,3,608.45,0.15
77,46,44,1,48.53,0.0
78,46,62,2,56.3,0.0
79,47,67,1,60.83,0.1
80,48,141,5,78.37,0.0
81,48,146,2,129.81,0.15
82,49,28,2,92.72,0.0
83,49,40,2,79.25,0.15
84,49,21,1,246.62,0.0
85,50,144,1,77.26,0.0
