date,channel,spend
2024-01-01,paid_search,242.74
2024-01-01,social_media,164.12
2024-01-01,email,29.69
2024-01-01,referral,17.95
2024-01-02,paid_search,201.25
2024-01-02,social_media,145.14
2024-01-02,email,29.02
2024-01-02,referral,16.77
2024-01-03,paid_search,155.11
2024-01-03,social_media,175.97
2024-01-03,email,31.54
2024-01-03,referral,14.5
2024-01-04,paid_search,183.24
2024-01-04,social_media,128.14
2024-01-04,email,21.72
2024-01-04,referral,18.79
2024-01-05,paid_search,201.23
2024-01-05,social_media,135.72
2024-01-05,email,26.7
2024-01-05,referral,13.23
2024-01-06,paid_search,248.75
2024-01-06,social_media,151.3
2024-01-06,email,24.91
2024-01-06,referral,13.77
2024-01-07,paid_search,191.06
2024-01-07,social_media,223.69
2024-01-07,email,28.1
2024-01-07,referral,12.38
2024-01-08,paid_search,179.88
2024-01-08,social_media,214.68
2024-01-08,email,23.44
2024-01-08,referral,18.33
2024-01-09,paid_search,229.12
2024-01-09,social_media,179.35
2024-01-09,email,25.78
2024-01-09,referral,16.44
2024-01-10,paid_search,228.67
2024-01-10,social_media,199.7
2024-01-10,email,25.98
2024-01-10,referral,11.09
2024-01-11,paid_search,170.93
2024-01-11,social_media,133.03
2024-01-11,email,21.39
2024-01-11,referral,15.63
2024-01-12,paid_search,184.09
2024-01-12,social_media,182.49
2024-01-12,email,29.23
2024-01-12,referral,12.23
2024-01-13,paid_search,243.49
2024-01-13,social_media,233.13
2024-01-13,email,27.89
2024-01-13,referral,15.3
2024-01-14,paid_search,187.39
2024-01-14,social_media,186.49
2024-01-14,email,24.31
2024-01-14,referral,18.94
2024-01-15,paid_search,238.61
2024-01-15,social_media,227.85
2024-01-15,email,18.28
2024-01-15,referral,18.95
2024-01-16,paid_search,211.1
2024-01-16,social_media,233.47
2024-01-16,email,21.61
2024-01-16,referral,16.62
2024-01-17,paid_search,215.59
2024-01-17,social_media,165.04
2024-01-17,email,28.89
2024-01-17,referral,18.45
2024-01-18,paid_search,183.64
2024-01-18,social_media,156.02
2024-01-18,email,23.8
2024-01-18,referral,14.54
2024-01-19,paid_search,154.68
2024-01-19,social_media,147.02
2024-01-19,email,18.73
2024-01-19,referral,15.65
2024-01-20,paid_search,157.35
2024-01-20,social_media,205.64
2024-01-20,email,32.17
2024-01-20,referral,14.31
