order_item_id,order_id,product_id,quantity,unit_price,discount,line_revenue
1,1,2,1,56.53,0.05,53.7
2,1,28,3,93.46,0.0,280.38
3,2,28,1,91.12,0.15,77.45
4,2,23,1,67.52,0.05,64.14
5,3,7,1,264.63,0.0,264.63
6,3,25,1,40.11,0.05,38.1
7,4,16,1,38.59,0.0,38.59
8,4,13,1,81.9,0.1,73.71
9,5,1,4,102.89,0.0,411.56
10,6,10,1,106.44,0.0,106.44
11,6,5,1,52.12,0.0,52.12
12,7,24,3,17.98,0.15,45.85
13,7,17,1,26.67,0.0,26.67
14,8,6,2,51.92,0.0,103.84
15,9,24,1,17.73,0.0,17.73
16,10,13,4,80.98,0.0,323.92
17,11,2,4,56.08,0.0,224.32
18,11,22,2,52.04,0.0,104.08
19,11,4,2,252.19,0.15,428.72
20,12,10,2,106.84,0.0,213.68
21,13,20,2,17.87,0.15,30.38
22,13,23,3,67.72,0.0,203.16
23,13,5,2,51.86,0.0,103.72
24,14,7,2,262.98,0.05,499.66
25,14,12,1,42.71,0.0,42.71
26,14,23,1,67.63,0.0,67.63
27,15,22,1,51.9,0.15,44.11
28,15,16,1,39.49,0.05,37.52
29,15,5,2,51.45,0.0,102.9
30,16,28,2,92.01,0.05,174.82
31,17,4,1,251.31,0.15,213.61
32,18,11,2,43.84,0.0,87.68
33,19,12,2,42.54,0.05,80.83
34,20,27,4,23.43,0.15,79.66
35,20,13,1,81.65,0.0,81.65
36,21,4,2,255.83,0.1,460.49
37,22,6,2,52.97,0.15,90.05
38,22,20,4,17.9,0.05,68.02
39,23,29,2,37.02,0.15,62.93
40,24,1,4,102.94,0.15,350.0
41,24,23,3,70.7,0.0,212.1
42,25,17,1,26.43,0.05,25.11
43,25,23,2,69.59,0.0,139.18
44,25,20,3,18.35,0.0,55.05
45,26,17,2,26.63,0.0,53.26
46,27,11,2,41.85,0.0,83.7
47,27,8,3,129.08,0.0,387.24
48,28,15,2,13.73,0.05,26.09
49,29,11,2,41.78,0.05,79.38
50,29,4,2,256.7,0.0,513.4
51,30,20,3,18.39,0.05,52.41
52,30,21,2,237.62,0.0,475.24
53,30,10,2,107.41,0.1,193.34
54,31,23,2,67.72,0.15,115.12
55,31,22,1,52.67,0.15,44.77
56,32,18,2,84.26,0.0,168.52
57,32,17,2,26.42,0.15,44.91
58,33,4,3,251.07,0.05,715.55
59,33,9,1,43.23,0.15,36.75
60,34,4,2,257.8,0.15,438.26
61,34,25,3,40.64,0.05,115.82
62,35,17,1,25.53,0.05,24.25
63,35,5,3,52.69,0.0,158.07
64,35,16,4,39.66,0.0,158.64
65,36,13,4,82.42,0.1,296.71
66,37,14,4,11.49,0.0,45.96
67,37,20,2,17.9,0.05,34.01
68,38,23,3,69.8,0.0,209.4
69,38,29,4,37.97,0.0,151.88
70,38,24,1,18.24,0.15,15.5
71,39,30,1,50.39,0.0,50.39
72,39,22,3,53.43,0.15,136.25
73,40,25,2,40.01,0.15,68.02
74,41,22,3,54.0,0.0,162.0
75,41,24,3,17.93,0.0,53.79
76,42,7,2,264.66,0.0,529.32
77,43,5,1,52.12,0.1,46.91
78,43,27,1,23.02,0.1,20.72
79,44,28,4,89.95,0.15,305.83
80,44,8,2,126.71,0.05,240.75
81,44,24,2,18.3,0.15,31.11
82,45,18,1,84.95,0.05,80.7
83,45,2,1,58.01,0.15,49.31
84,46,25,3,39.22,0.15,100.01
85,46,19,1,28.24,0.15,24.0
86,47,6,1,51.64,0.0,51.64
87,48,9,2,42.8,0.0,85.6
88,48,18,1,87.2,0.0,87.2
89,49,5,2,53.41,0.15,90.8
90,50,27,2,23.14,0.0,46.28
91,50,22,4,52.3,0.0,209.2
92,50,10,3,105.98,0.05,302.04
93,51,18,2,85.0,0.0,170.0
94,51,13,2,79.67,0.1,143.41
95,51,3,3,116.83,0.15,297.92
96,52,4,4,252.65,0.15,859.01
97,53,30,1,49.55,0.0,49.55
98,53,20,2,18.45,0.0,36.9
99,53,8,3,128.89,0.1,348.0
100,54,16,2,38.58,0.1,69.44
101,54,2,1,56.43,0.1,50.79
102,55,1,1,103.1,0.15,87.64
103,55,21,2,239.5,0.15,407.15
104,55,3,4,117.34,0.0,469.36
105,56,1,2,99.26,0.0,198.52
106,57,6,2,52.87,0.0,105.74
107,58,14,2,11.58,0.0,23.16
108,58,13,2,80.98,0.15,137.67
109,59,3,3,118.54,0.0,355.62
110,59,25,3,40.42,0.0,121.26
111,59,24,3,18.28,0.05,52.1
112,60,13,4,79.41,0.0,317.64
113,60,27,1,23.43,0.1,21.09
114,61,21,2,248.34,0.15,422.18
115,61,5,4,53.88,0.1,193.97
116,62,5,1,52.38,0.1,47.14
117,62,4,1,259.31,0.15,220.41
118,62,2,2,58.6,0.1,105.48
119,63,6,1,53.57,0.0,53.57
120,64,6,4,53.62,0.1,193.03
121,65,21,1,237.78,0.0,237.78
122,65,18,1,86.21,0.0,86.21
123,66,5,4,52.09,0.0,208.36
124,66,22,1,52.93,0.1,47.64
125,67,23,1,68.61,0.0,68.61
126,67,19,2,28.44,0.0,56.88
127,68,9,2,43.13,0.05,81.95
128,68,27,2,23.4,0.05,44.46
129,69,4,3,253.17,0.0,759.51
130,69,6,3,53.3,0.15,135.91
131,69,21,1,248.06,0.1,223.25
132,70,27,3,23.4,0.0,70.2
133,71,18,2,88.47,0.05,168.09
134,72,12,2,43.35,0.15,73.7
135,73,5,3,52.39,0.1,141.45
136,73,15,1,14.01,0.1,12.61
137,74,25,3,39.14,0.1,105.68
138,75,22,4,54.25,0.0,217.0
139,75,28,1,89.93,0.0,89.93
140,75,5,2,53.12,0.1,95.62
141,76,13,2,78.93,0.15,134.18
142,76,16,2,40.14,0.15,68.24
143,77,27,2,23.16,0.05,44.0
144,77,24,4,18.12,0.0,72.48
145,78,9,1,42.3,0.0,42.3
146,78,13,2,82.44,0.0,164.88
147,78,30,3,49.85,0.0,149.55
148,79,17,4,25.66,0.0,102.64
149,80,20,1,18.16,0.0,18.16
150,80,23,4,69.71,0.05,264.9
151,81,19,1,28.58,0.0,28.58
152,82,5,3,51.68,0.1,139.54
153,83,29,3,37.22,0.0,111.66
154,84,13,4,81.75,0.15,277.95
155,84,20,2,17.98,0.1,32.36
156,84,19,2,28.23,0.05,53.64
157,85,5,1,52.7,0.0,52.7
158,85,26,4,73.4,0.1,264.24
159,85,19,3,28.53,0.0,85.59
160,86,1,1,103.81,0.15,88.24
161,87,27,3,23.05,0.1,62.24
162,87,5,3,53.44,0.1,144.29
163,88,3,2,118.86,0.1,213.95
164,89,29,4,37.91,0.0,151.64
165,90,23,3,70.64,0.05,201.32
166,91,12,4,43.49,0.1,156.56
167,91,19,1,28.35,0.0,28.35
168,92,10,3,105.46,0.0,316.38
169,93,23,4,69.36,0.0,277.44
170,94,1,1,100.71,0.0,100.71
171,94,13,1,81.47,0.0,81.47
172,94,21,2,242.22,0.0,484.44
173,95,9,1,43.24,0.05,41.08
174,95,22,1,53.21,0.0,53.21
175,95,13,2,81.97,0.05,155.74
176,96,28,4,89.92,0.15,305.73
177,97,4,1,259.81,0.1,233.83
178,98,23,1,69.57,0.0,69.57
179,98,22,1,53.33,0.0,53.33
180,98,2,1,57.03,0.1,51.33
181,99,24,2,17.95,0.15,30.51
182,100,10,1,107.69,0.15,91.54
183,100,23,2,68.03,0.15,115.65
184,100,20,3,17.81,0.1,48.09
185,101,17,3,25.51,0.0,76.53
186,101,23,4,67.87,0.0,271.48
187,101,8,2,129.03,0.1,232.25
188,102,17,1,25.55,0.0,25.55
189,103,10,3,105.13,0.0,315.39
190,103,24,1,17.75,0.05,16.86
191,103,27,3,22.69,0.1,61.26
192,104,18,1,85.56,0.0,85.56
193,105,9,3,42.49,0.05,121.1
194,105,29,3,37.37,0.0,112.11
195,105,18,2,88.02,0.0,176.04
196,106,4,1,259.84,0.0,259.84
197,106,9,4,43.27,0.05,164.43
198,107,17,1,25.81,0.0,25.81
199,107,18,1,87.37,0.0,87.37
200,108,18,1,85.62,0.1,77.06
201,109,6,4,51.83,0.15,176.22
202,109,24,1,17.8,0.0,17.8
203,110,8,1,131.96,0.0,131.96
204,111,25,1,38.98,0.15,33.13
205,112,20,3,18.57,0.0,55.71
206,112,1,3,103.75,0.1,280.12
207,113,16,3,38.64,0.1,104.33
208,113,6,1,53.48,0.05,50.81
209,114,2,2,58.22,0.05,110.62
210,114,17,1,26.08,0.15,22.17
211,114,12,1,42.12,0.1,37.91
212,115,11,2,42.31,0.1,76.16
213,116,8,2,128.68,0.0,257.36
214,116,9,2,42.44,0.0,84.88
215,117,28,2,91.52,0.1,164.74
216,117,13,4,79.18,0.0,316.72
217,118,18,2,84.92,0.15,144.36
218,119,16,1,39.19,0.15,33.31
219,120,18,2,86.54,0.1,155.77
220,120,24,1,18.21,0.0,18.21
221,120,11,1,42.79,0.15,36.37
222,121,15,4,13.67,0.1,49.21
223,122,30,2,49.04,0.15,83.37
224,122,26,3,72.13,0.15,183.93
225,122,9,3,43.23,0.0,129.69
226,123,22,2,52.92,0.0,105.84
227,123,17,2,26.08,0.0,52.16
228,124,21,2,244.58,0.05,464.7
229,125,3,1,115.35,0.15,98.05
230,126,23,3,68.28,0.05,194.6
231,126,9,2,42.66,0.05,81.05
232,127,6,1,51.95,0.0,51.95
233,127,28,4,89.22,0.0,356.88
234,128,4,2,249.84,0.05,474.7
235,128,3,3,113.97,0.0,341.91
236,129,5,2,51.99,0.0,103.98
237,129,3,2,114.26,0.0,228.52
238,129,21,1,241.39,0.0,241.39
239,130,15,3,13.8,0.0,41.4
240,130,28,4,91.61,0.05,348.12
241,131,14,4,11.87,0.05,45.11
242,131,17,3,25.58,0.0,76.74
243,131,21,2,238.88,0.0,477.76
244,132,17,1,26.09,0.0,26.09
245,133,25,2,39.7,0.0,79.4
246,133,16,3,38.2,0.0,114.6
247,134,14,3,11.47,0.15,29.25
248,135,27,1,22.99,0.0,22.99
249,135,13,3,82.54,0.15,210.48
250,136,10,4,104.7,0.0,418.8
251,136,21,1,240.55,0.15,204.47
252,137,20,2,18.23,0.0,36.46
253,137,15,1,14.1,0.0,14.1
254,138,4,2,258.88,0.15,440.1
255,139,8,1,129.68,0.0,129.68
256,140,10,2,105.76,0.0,211.52
257,140,26,2,72.77,0.0,145.54
258,141,9,2,42.55,0.0,85.1
259,142,27,1,23.4,0.0,23.4
260,142,13,2,80.6,0.15,137.02
261,143,7,2,263.74,0.15,448.36
262,144,16,2,38.82,0.0,77.64
263,145,21,4,248.63,0.1,895.07
264,146,9,2,41.96,0.0,83.92
265,147,4,1,253.75,0.0,253.75
266,148,19,2,27.99,0.0,55.98
267,148,4,3,255.73,0.1,690.47
268,149,12,1,42.75,0.15,36.34
269,150,11,4,42.52,0.0,170.08
270,150,30,4,49.0,0.05,186.2
271,150,25,1,39.96,0.15,33.97
272,151,26,2,70.08,0.05,133.15
273,151,29,2,37.38,0.0,74.76
274,152,23,3,69.79,0.0,209.37
275,152,15,3,13.66,0.15,34.83
276,153,9,3,42.74,0.0,128.22
277,153,28,3,90.23,0.0,270.69
278,154,12,4,43.27,0.0,173.08
279,154,15,3,13.96,0.0,41.88
280,154,1,2,102.5,0.1,184.5
281,155,7,4,270.05,0.1,972.18
282,155,17,2,26.32,0.0,52.64
283,156,17,4,26.58,0.0,106.32
284,157,28,1,91.11,0.0,91.11
285,158,19,4,28.95,0.1,104.22
286,159,23,1,69.46,0.0,69.46
287,159,19,1,28.28,0.05,26.87
288,159,9,1,42.92,0.0,42.92
289,160,24,2,17.63,0.1,31.73
290,160,29,2,38.32,0.0,76.64
291,160,14,1,11.9,0.0,11.9
292,161,24,1,17.75,0.1,15.98
293,162,19,4,28.8,0.1,103.68
294,163,24,4,18.2,0.15,61.88
295,163,4,4,250.86,0.0,1003.44
296,164,13,4,82.9,0.05,315.02
297,164,17,2,26.2,0.0,52.4
298,164,11,2,43.13,0.15,73.32
299,165,20,3,18.13,0.1,48.95
300,165,8,4,132.79,0.05,504.6
301,166,1,1,102.17,0.1,91.95
302,166,24,1,17.85,0.0,17.85
303,167,7,2,273.79,0.15,465.44
304,168,30,3,51.1,0.0,153.3
305,168,18,1,85.63,0.0,85.63
306,169,12,3,42.22,0.0,126.66
307,169,29,1,38.0,0.0,38.0
308,170,24,2,17.73,0.15,30.14
309,171,27,3,22.53,0.1,60.83
310,171,30,2,48.87,0.0,97.74
311,171,4,2,255.19,0.0,510.38
312,172,24,4,18.43,0.15,62.66
313,173,2,3,57.53,0.0,172.59
314,173,10,2,104.44,0.0,208.88
315,174,15,3,13.48,0.05,38.42
316,174,25,2,39.12,0.0,78.24
317,175,16,3,39.29,0.0,117.87
318,176,13,3,81.66,0.0,244.98
319,177,18,2,86.58,0.1,155.84
320,177,7,3,269.68,0.0,809.04
321,178,9,2,43.54,0.0,87.08
322,179,22,2,52.65,0.0,105.3
323,180,20,1,17.93,0.0,17.93
324,180,21,3,246.95,0.1,666.76
325,181,15,1,13.58,0.15,11.54
326,182,5,4,51.62,0.0,206.48
327,182,25,1,40.71,0.0,40.71
328,183,11,4,42.41,0.05,161.16
329,184,11,1,42.21,0.1,37.99
330,185,25,2,40.84,0.15,69.43
331,185,9,4,42.35,0.15,143.99
332,185,18,3,84.81,0.0,254.43
333,186,26,4,70.2,0.15,238.68
334,187,3,2,117.44,0.15,199.65
335,188,28,1,92.97,0.05,88.32
336,188,4,1,256.17,0.15,217.74
337,189,29,2,38.06,0.0,76.12
338,190,7,3,270.18,0.15,688.96
339,191,2,1,56.83,0.05,53.99
340,192,24,1,17.9,0.15,15.21
341,192,6,2,53.96,0.1,97.13
342,193,26,4,71.43,0.0,285.72
343,193,2,3,56.6,0.0,169.8
344,194,22,1,53.12,0.15,45.15
345,194,5,3,53.17,0.05,151.53
346,195,19,1,28.44,0.1,25.6
347,196,15,1,13.51,0.1,12.16
348,196,18,4,87.87,0.0,351.48
349,197,30,1,50.17,0.0,50.17
350,197,5,2,52.76,0.15,89.69
351,197,14,1,11.82,0.0,11.82
352,198,25,2,39.66,0.05,75.35
353,199,15,4,13.61,0.0,54.44
354,199,24,1,17.6,0.1,15.84
355,200,9,3,42.03,0.15,107.18
356,200,20,1,18.42,0.05,17.5
357,200,19,1,28.87,0.15,24.54
358,201,6,2,51.69,0.0,103.38
359,201,28,1,92.42,0.0,92.42
360,202,14,4,11.44,0.0,45.76
361,202,8,1,132.75,0.05,126.11
362,203,16,2,39.05,0.0,78.1
363,203,23,3,68.66,0.0,205.98
364,203,11,2,43.37,0.1,78.07
365,204,17,4,26.16,0.05,99.41
366,204,21,2,237.47,0.0,474.94
367,204,29,3,38.81,0.0,116.43
368,205,13,4,79.55,0.05,302.29
369,205,17,2,26.5,0.0,53.0
370,205,25,2,39.42,0.0,78.84
371,206,29,4,38.3,0.0,153.2
372,206,5,1,53.85,0.15,45.77
373,206,15,3,13.71,0.05,39.07
374,207,6,2,53.24,0.0,106.48
375,208,3,2,118.9,0.0,237.8
376,208,9,4,41.72,0.15,141.85
377,209,21,1,241.73,0.1,217.56
378,209,12,3,42.49,0.05,121.1
379,210,25,1,39.97,0.15,33.97
380,211,6,1,53.24,0.05,50.58
381,212,10,2,104.22,0.0,208.44
382,212,24,1,18.28,0.0,18.28
383,213,16,2,38.2,0.05,72.58
384,213,28,1,91.93,0.05,87.33
385,214,15,3,13.59,0.1,36.69
386,214,3,2,116.81,0.0,233.62
387,215,6,1,52.26,0.0,52.26
388,216,22,3,52.51,0.0,157.53
389,217,4,2,251.61,0.0,503.22
390,218,22,3,52.18,0.05,148.71
391,218,23,4,70.62,0.0,282.48
392,218,20,2,18.61,0.0,37.22
393,219,27,1,22.65,0.15,19.25
394,219,18,2,85.89,0.0,171.78
395,220,20,1,18.46,0.15,15.69
396,221,3,4,118.18,0.15,401.81
397,221,16,2,39.89,0.0,79.78
398,221,24,3,18.15,0.0,54.45
399,222,19,4,28.7,0.0,114.8
400,222,16,3,38.77,0.0,116.31
401,222,17,1,26.08,0.0,26.08
402,223,26,3,71.53,0.0,214.59
403,224,18,4,86.89,0.15,295.43
404,224,26,2,70.26,0.0,140.52
405,225,18,1,85.53,0.05,81.25
406,225,11,4,43.85,0.0,175.4
407,225,25,1,39.51,0.15,33.58
408,226,30,1,49.96,0.15,42.47
409,226,16,2,39.27,0.0,78.54
410,227,26,2,70.21,0.1,126.38
