order_id,customer_id,order_date,status,payment_method
1,57,2025-05-08,returned,credit_card
2,79,2026-08-13,cancelled,debit_card
3,34,2025-09-20,completed,debit_card
4,1,2026-07-09,completed,debit_card
5,37,2025-03-21,completed,debit_card
6,34,2026-06-01,completed,debit_card
7,55,2024-10-13,completed,debit_card
8,10,2025-02-23,completed,paypal
9,57,2025-01-12,completed,paypal
10,65,2025-12-19,completed,bank_transfer
11,95,2025-10-14,completed,credit_card
12,98,2025-03-14,completed,debit_card
13,61,2024-11-18,cancelled,bank_transfer
14,82,2025-12-11,completed,paypal
15,86,2025-04-05,completed,paypal
16,85,2025-12-03,completed,paypal
17,42,2025-01-10,cancelled,credit_card
18,85,2024-10-24,completed,paypal
19,80,2025-09-07,completed,paypal
20,71,2025-12-23,completed,credit_card
21,4,2024-12-21,completed,paypal
22,71,2025-11-15,completed,credit_card
23,60,2025-11-07,completed,paypal
24,66,2024-10-12,completed,debit_card
25,59,2024-12-23,completed,debit_card
26,9,2026-06-01,completed,paypal
27,1,2025-11-12,completed,bank_transfer
28,20,2026-02-23,completed,bank_transfer
29,59,2026-07-14,returned,bank_transfer
30,30,2025-11-26,completed,bank_transfer
31,50,2025-05-02,returned,credit_card
32,17,2026-05-29,completed,bank_transfer
33,13,2026-07-31,completed,debit_card
34,10,2025-10-24,completed,credit_card
35,43,2024-09-13,completed,bank_transfer
36,70,2026-05-15,completed,paypal
37,30,2026-06-14,returned,credit_card
38,57,2024-04-09,cancelled,credit_card
39,38,2024-10-15,completed,debit_card
40,22,2024-09-17,cancelled,debit_card
41,64,2025-12-24,completed,bank_transfer
42,33,2026-03-04,cancelled,debit_card
43,10,2025-03-11,returned,bank_transfer
44,89,2025-06-03,completed,bank_transfer
45,14,2025-12-31,completed,paypal
46,3,2025-01-23,completed,credit_card
47,78,2026-03-31,completed,paypal
48,29,2025-10-31,completed,debit_card
49,81,2025-07-02,completed,bank_transfer
50,5,2025-12-06,completed,paypal
51,96,2025-12-22,completed,paypal
52,68,2024-05-09,completed,bank_transfer
53,104,2025-03-09,completed,credit_card
54,19,2026-07-04,cancelled,bank_transfer
55,103,2025-12-13,completed,credit_card
56,59,2025-10-10,completed,paypal
57,14,2025-03-25,completed,paypal
58,79,2025-12-24,completed,paypal
59,84,2025-04-04,completed,bank_transfer
60,15,2025-08-23,completed,bank_transfer
61,76,2025-02-19,cancelled,bank_transfer
62,79,2026-04-30,completed,bank_transfer
63,57,2026-02-05,completed,paypal
64,8,2026-01-27,returned,bank_transfer
65,12,2025-06-24,completed,credit_card
66,101,2025-04-01,completed,debit_card
67,76,2025-07-31,completed,credit_card
68,36,2024-10-08,returned,debit_card
69,15,2026-01-29,completed,debit_card
70,76,2024-09-28,completed,bank_transfer
71,68,2024-12-13,completed,credit_card
72,58,2025-07-20,completed,paypal
73,59,2025-07-01,completed,bank_transfer
74,55,2025-08-24,completed,credit_card
75,42,2025-08-08,completed,paypal
76,49,2025-01-18,completed,bank_transfer
77,13,2025-05-04,completed,debit_card
78,56,2025-11-27,completed,bank_transfer
79,54,2024-02-12,completed,paypal
80,20,2025-12-04,completed,credit_card
81,56,2026-06-13,completed,credit_card
82,76,2026-02-21,completed,paypal
83,86,2025-04-18,cancelled,paypal
84,77,2026-03-06,completed,bank_transfer
85,29,2026-12-06,completed,paypal
86,74,2025-08-05,completed,credit_card
87,78,2025-06-18,completed,paypal
88,44,2024-11-22,cancelled,bank_transfer
89,9,2026-03-26,returned,debit_card
90,49,2025-05-27,completed,paypal
91,100,2025-09-16,completed,debit_card
92,97,2025-10-23,completed,bank_transfer
93,63,2024-03-11,completed,credit_card
94,45,2025-04-17,completed,paypal
95,6,2025-02-16,completed,debit_card
96,99,2025-10-08,completed,bank_transfer
97,96,2024-11-16,completed,paypal
98,10,2025-03-08,completed,credit_card
99,41,2025-07-28,completed,paypal
100,15,2025-02-21,completed,bank_transfer
101,89,2024-11-30,completed,bank_transfer
102,76,2024-10-27,completed,paypal
103,29,2024-09-21,completed,debit_card
104,100,2025-03-26,returned,debit_card
105,31,2025-07-06,completed,credit_card
106,23,2026-06-15,completed,bank_transfer
107,88,2025-12-03,completed,paypal
108,81,2025-03-07,completed,paypal
109,102,2025-02-21,completed,bank_transfer
110,58,2026-06-16,completed,credit_card
111,79,2026-07-14,completed,credit_card
112,58,2024-12-15,completed,bank_transfer
113,65,2026-05-06,completed,paypal
114,92,2025-04-24,completed,bank_transfer
115,57,2026-08-08,completed,paypal
116,50,2025-04-11,completed,paypal
117,9,2026-02-24,completed,debit_card
118,43,2025-04-12,completed,bank_transfer
119,17,2025-01-07,completed,paypal
120,105,2026-03-28,completed,credit_card
121,83,2024-12-14,completed,debit_card
122,28,2025-04-09,completed,debit_card
123,10,2025-09-16,completed,credit_card
124,85,2025-08-10,completed,debit_card
125,24,2025-09-04,completed,bank_transfer
126,6,2026-06-26,completed,paypal
127,97,2025-09-04,completed,bank_transfer
128,25,2025-09-03,returned,paypal
129,100,2024-08-31,completed,debit_card
130,103,2024-10-21,completed,paypal
131,71,2025-06-14,completed,paypal
132,11,2025-09-09,completed,bank_transfer
133,12,2025-08-03,completed,credit_card
134,54,2025-02-15,completed,credit_card
135,48,2025-01-27,cancelled,paypal
136,102,2025-11-09,completed,debit_card
137,98,2025-05-14,completed,credit_card
138,33,2024-09-19,completed,bank_transfer
139,15,2024-09-21,completed,bank_transfer
140,82,2025-03-19,completed,bank_transfer
141,77,2025-09-01,completed,debit_card
142,38,2025-11-20,completed,debit_card
143,86,2026-06-29,returned,credit_card
144,50,2026-05-29,completed,paypal
145,96,2026-01-03,completed,credit_card
146,99,2026-01-17,completed,paypal
147,105,2025-08-13,completed,debit_card
148,104,2025-03-22,completed,paypal
149,26,2025-10-03,cancelled,paypal
150,66,2024-08-19,completed,debit_card
151,37,2026-06-02,cancelled,credit_card
152,103,2024-04-11,completed,bank_transfer
153,44,2025-07-13,completed,paypal
154,103,2024-11-25,completed,debit_card
155,70,2026-06-29,completed,paypal
156,58,2025-06-03,completed,bank_transfer
157,6,2026-01-03,completed,credit_card
158,10,2025-05-24,completed,debit_card
159,4,2026-03-29,completed,debit_card
160,9,2025-06-22,completed,credit_card
161,78,2025-05-24,cancelled,credit_card
162,74,2024-09-17,completed,debit_card
163,15,2025-06-20,completed,credit_card
164,34,2024-09-21,completed,paypal
165,89,2025-10-29,completed,credit_card
166,58,2025-10-23,completed,paypal
167,86,2025-01-11,completed,paypal
168,21,2025-05-21,completed,debit_card
169,16,2025-10-16,completed,paypal
170,71,2025-03-25,completed,credit_card
171,9,2024-10-09,completed,bank_transfer
172,74,2025-09-06,completed,paypal
173,17,2025-09-08,completed,debit_card
174,56,2025-07-28,completed,paypal
175,22,2026-03-29,completed,paypal
176,11,2025-10-14,returned,paypal
177,79,2025-03-18,completed,debit_card
178,22,2026-05-16,cancelled,credit_card
179,4,2025-12-10,completed,debit_card
180,99,2026-01-23,completed,paypal
181,83,2025-11-30,completed,bank_transfer
182,39,2024-11-13,completed,bank_transfer
183,60,2024-11-20,completed,paypal
184,94,2024-10-27,returned,paypal
185,66,2025-06-14,completed,bank_transfer
186,32,2025-05-29,completed,bank_transfer
187,32,2026-04-22,completed,paypal
188,25,2025-03-05,returned,paypal
189,64,2025-10-20,completed,debit_card
190,75,2026-08-12,completed,bank_transfer
191,37,2025-05-23,completed,paypal
192,98,2026-03-22,completed,debit_card
193,47,2024-12-03,completed,paypal
194,80,2025-01-14,completed,paypal
195,102,2025-11-23,cancelled,debit_card
196,78,2025-09-12,completed,paypal
197,103,2025-06-20,completed,debit_card
198,42,2025-05-09,completed,paypal
199,76,2024-09-13,completed,paypal
200,61,2024-09-17,completed,bank_transfer
201,75,2024-09-12,cancelled,bank_transfer
202,34,2024-11-27,completed,bank_transfer
203,22,2026-02-18,completed,debit_card
204,88,2025-04-28,cancelled,credit_card
205,57,2026-04-29,completed,bank_transfer
206,95,2025-08-15,completed,paypal
207,85,2025-09-20,completed,paypal
208,70,2025-08-02,completed,paypal
209,79,2024-12-06,completed,paypal
210,99,2025-11-26,completed,bank_transfer
211,45,2026-07-07,completed,bank_transfer
212,51,2025-09-17,completed,credit_card
213,45,2024-11-29,completed,debit_card
214,69,2025-04-24,completed,debit_card
215,32,2026-08-06,completed,credit_card
216,53,2025-02-12,completed,credit_card
217,71,2025-04-17,completed,bank_transfer
218,62,2024-12-17,completed,credit_card
219,84,2025-06-14,completed,credit_card
220,23,2025-12-04,cancelled,bank_transfer
221,101,2026-03-10,returned,credit_card
222,2,2026-05-29,completed,paypal
223,59,2025-04-02,completed,debit_card
224,65,2025-11-17,completed,bank_transfer
225,83,2025-05-01,completed,paypal
226,73,2025-09-11,completed,bank_transfer
227,55,2026-05-18,completed,debit_card
228,62,2025-09-12,completed,bank_transfer
229,97,2025-09-30,completed,credit_card
230,34,2025-08-28,completed,bank_transfer
231,40,2026-02-14,completed,paypal
232,89,2025-10-24,completed,debit_card
233,62,2025-04-02,returned,bank_transfer
234,97,2025-08-16,completed,credit_card
235,68,2026-05-08,completed,credit_card
236,8,2024-08-25,completed,debit_card
237,42,2025-05-26,completed,bank_transfer
238,12,2025-04-27,completed,bank_transfer
239,59,2026-01-18,completed,credit_card
240,51,2024-11-06,completed,credit_card
241,55,2025-07-02,completed,credit_card
242,61,2025-09-11,completed,bank_transfer
243,48,2025-08-04,completed,bank_transfer
244,49,2026-04-23,cancelled,paypal
245,16,2026-07-12,completed,debit_card
246,1,2026-02-27,completed,bank_transfer
247,69,2026-06-21,completed,paypal
248,25,2026-01-29,completed,bank_transfer
249,79,2025-12-14,completed,credit_card
250,58,2024-09-02,cancelled,credit_card
251,52,2025-11-19,completed,credit_card
252,18,2025-08-16,completed,paypal
253,74,2025-03-07,completed,debit_card
254,85,2026-04-01,completed,debit_card
255,81,2026-04-13,completed,bank_transfer
256,101,2026-04-07,completed,bank_transfer
257,24,2025-05-11,completed,debit_card
258,104,2025-11-04,completed,debit_card
259,50,2025-02-05,completed,bank_transfer
260,48,2026-02-24,completed,bank_transfer
261,87,2024-09-21,cancelled,debit_card
262,62,2025-09-11,completed,debit_card
263,25,2025-08-21,completed,debit_card
264,90,2024-12-23,completed,paypal
265,100,2025-09-24,completed,paypal
266,47,2025-12-14,completed,bank_transfer
267,98,2026-02-24,completed,debit_card
268,95,2025-07-12,completed,bank_transfer
269,38,2026-06-04,completed,debit_card
270,64,2026-05-28,completed,bank_transfer
271,93,2025-04-06,completed,paypal
272,22,2024-12-05,completed,credit_card
273,68,2026-05-13,cancelled,credit_card
274,53,2026-01-23,completed,credit_card
275,28,2025-02-17,completed,bank_transfer
276,85,2024-09-06,completed,credit_card
277,68,2025-10-31,returned,bank_transfer
278,104,2026-02-08,completed,debit_card
279,31,2024-11-06,completed,bank_transfer
280,11,2025-08-01,completed,debit_card
281,39,2024-08-27,completed,credit_card
282,12,2025-07-21,completed,credit_card
283,90,2025-04-13,completed,paypal
284,73,2025-07-04,cancelled,debit_card
285,28,2024-12-08,cancelled,credit_card
286,10,2025-06-29,cancelled,credit_card
287,23,2026-01-31,completed,debit_card
288,97,2025-01-18,cancelled,debit_card
289,73,2025-06-27,completed,bank_transfer
290,97,2025-09-06,completed,paypal
291,7,2026-04-06,completed,bank_transfer
292,100,2025-11-30,completed,bank_transfer
293,30,2026-07-28,completed,bank_transfer
294,11,2025-08-14,completed,credit_card
295,35,2026-06-21,completed,bank_transfer
296,41,2026-06-02,completed,paypal
297,98,2026-03-07,completed,bank_transfer
298,14,2026-02-28,completed,paypal
299,50,2024-09-30,completed,debit_card
300,74,2026-02-12,completed,paypal
301,35,2024-11-28,completed,paypal
302,62,2025-09-19,completed,bank_transfer
303,77,2025-01-21,completed,bank_transfer
304,43,2025-10-22,completed,paypal
305,56,2025-04-22,returned,paypal
306,78,2026-01-09,completed,bank_transfer
307,41,2025-08-19,completed,debit_card
308,42,2025-09-25,completed,debit_card
309,76,2025-06-01,completed,bank_transfer
310,91,2025-04-13,completed,bank_transfer
311,87,2024-12-25,completed,debit_card
312,92,2025-05-08,completed,bank_transfer
313,75,2026-07-22,cancelled,bank_transfer
314,70,2025-01-10,completed,credit_card
315,14,2025-05-05,completed,credit_card
