product_id,product_name,category,subcategory,price,cost
1,Cables Man,Accessories,Cables,104.28,62.2
2,Consoles Response Plus,Gaming,Consoles,58.88,33.64
3,Consoles Nation,Gaming,Consoles,119.45,74.96
4,Tablets Guy Lite,Electronics,Tablets,262.62,138.68
5,Controllers Career Max,Gaming,Controllers,54.02,36.5
6,Consoles Unit Plus,Gaming,Consoles,54.02,40.51
7,Chargers Them Pro,Accessories,Chargers,276.25,147.2337837837838
8,Laptops State Lite,Electronics,Laptops,133.05,97.7
9,Controllers Ok Lite,Gaming,Controllers,43.71,29.09
10,Headphones Push Pro,Electronics,Headphones,108.67,67.67
11,Controllers People Lite,Gaming,Controllers,43.94,28.04
12,Games Court,Gaming,Games,43.85,27.18
13,Cases Special Max,Accessories,Cases,82.91,37.62
14,Consoles Carry Plus,Gaming,Consoles,11.92,8.33
15,Consoles Lead,Gaming,Consoles,14.12,9.78
16,Controllers Morning Plus,Gaming,Controllers,40.2,21.98
17,Headphones Whether Plus,Electronics,Headphones,26.8,16.97
18,Tablets Trouble Max,Electronics,Tablets,88.48,60.99
19,Cables Around Max,Accessories,Cables,29.45,14.94
20,Controllers Theory,Gaming,Controllers,18.71,12.04
21,Smartphones Capital Max,Electronics,Smartphones,249.41,135.15
22,Games National,Gaming,Games,54.42,33.47
23,Controllers Claim Max,Gaming,Controllers,70.86,35.98
24,Cables Fly Lite,Accessories,Cables,18.5,9.86
25,Cables Community Max,Accessories,Cables,40.86,22.02
26,Consoles Color,Gaming,Consoles,73.69,34.37
27,Tablets Future Pro,Electronics,Tablets,23.67,13.98
28,Smartphones Worry Max,Electronics,Smartphones,93.52,65.15
29,Smartphones Security Lite,Electronics,Smartphones,38.84,21.02
30,Tablets Down,Electronics,Tablets,51.29,35.02
